"","N_SQ_AD","college"
"355",750110537,140
"356",750115346,1
"357",750112588,140
"358",750146500,75
"359",750116137,140
"360",750115115,1
"361",750118290,1
"362",750112268,140
"363",750116427,1
"364",750116138,140
"365",750111482,75
"366",750116143,140
"367",750111512,75
"368",750110528,140
"369",750111476,75
"370",750116129,140
"371",750115344,1
"372",750113727,140
"373",750116426,1
"374",750117431,75
"375",750109946,1
"376",750110511,140
"377",750111358,1
"378",750112944,140
"379",750112958,140
"380",750112325,140
"381",750108698,140
"382",750110523,140
"383",750112571,140
"384",750110475,1
"385",750117288,189
"386",750115797,189
"387",750115802,189
"388",750116263,140
"389",750115856,189
"390",750115784,1
"391",750115754,140
"392",750112566,140
"393",750115351,1
"394",750115776,1
"395",750117286,189
"396",750116268,140
"397",750118782,193
"398",750116271,140
"399",750116274,140
"400",750110440,140
"401",750115117,1
"402",750117429,140
"403",750112263,140
"404",750111514,75
"405",750116278,140
"406",750110083,1
"407",750110088,1
"408",750116141,140
"409",750142433,75
"410",750116424,1
"411",750111527,75
"412",750116146,140
"413",750110463,140
"414",750111529,140
"415",750142452,75
"416",750116122,140
"417",750116417,1
"418",750146514,75
"419",750117350,140
"420",750117347,140
"421",750142469,75
"422",750114948,1
"423",750110521,140
"424",750108690,140
"425",750110522,140
"426",750116258,140
"427",750117433,75
"428",750110506,140
"429",750115777,1
"430",750115807,1
"431",750114949,1
"432",750142473,75
"433",750146486,75
"434",750117292,189
"435",750118775,1
"436",750114942,1
"437",750112551,140
"438",750110525,140
"439",750115810,1
"440",750115806,1
"441",750115551,1
"442",750118161,1
"443",750113732,140
"444",750113721,140
"445",750109088,140
"446",750110530,140
"447",750112564,140
"448",750115114,1
"449",750108322,165
"450",750109046,1
"451",750114956,1
"452",750109087,140
"453",750110497,140
"454",750109181,1
"455",750111360,1
"456",750162830,75
"457",750115764,140
"458",750115757,140
"459",750117348,140
"460",750142459,75
"461",750112309,140
"462",750146495,75
"463",750115760,140
"464",750118283,1
"465",750114951,1
"466",750117989,1
"467",750118159,1
"468",750115767,140
"469",750115753,140
"470",750115758,140
"471",750118105,1
"472",750110540,140
"473",750112589,75
"474",750110505,140
"475",750118288,1
"476",750146498,75
"477",750142467,75
"478",750118154,1
"479",750174068,140
"480",750110450,140
"481",750115122,1
"482",750112267,140
"483",750115561,1
"484",750109054,1
"485",750109625,1
"486",750114941,1
"487",750116140,140
"488",750110447,140
"489",750116144,140
"490",750109956,1
"491",750112550,140
"492",750110464,140
"493",750142446,75
"494",750115339,1
"495",750116123,140
"496",750116145,140
"497",750110520,140
"498",750146508,75
"499",750116430,1
"500",750146513,75
"501",750154150,75
"502",750108697,140
"503",750116251,140
"504",750112315,140
"505",750111477,75
"506",750115794,189
"507",750112312,140
"508",750111526,75
"509",750112552,140
"510",750115795,189
"511",750110096,1
"512",750112560,140
"513",750146489,75
"514",750118157,1
"515",750118776,1
"516",750118779,1
"517",750152009,1
"518",750109056,1
"519",750110466,1
"520",750115384,1
"521",750117459,140
"522",750115372,1
"523",750115374,1
"524",750108490,140
"525",750174611,193
"526",750118785,193
"527",750111489,75
"528",750116280,140
"529",750115780,1
"530",750110462,140
"531",750118786,193
"532",750111520,75
"533",750110458,140
"534",750115860,189
"535",750111312,1
"536",750117291,189
"537",750142454,75
"538",750158834,140
"539",750146507,75
"540",750115765,140
"541",750117457,140
"542",750110536,140
"543",750108693,140
"544",750110515,140
"545",750116253,140
"546",750113733,140
"547",750116267,140
"548",750115360,1
"549",750109058,1
"550",750115782,1
"551",750115769,140
"552",750110084,1
"553",750145304,140
"554",750158095,1
"555",750116262,140
"556",750142483,75
"557",750111357,1
"558",750118098,1
"559",750111317,1
"560",750111361,1
"561",750118248,1
"562",750115792,189
"563",750110107,75
"564",750108319,165
"565",750143917,1
"566",750115120,1
"567",750108321,165
"568",750110102,75
"569",750108320,165
"570",750109089,140
"571",750108325,165
"572",750110517,140
"573",750116432,1
"574",750114960,1
"575",750142484,75
"576",750111276,1
"577",750109092,140
"578",750116128,140
"579",750111318,1
"580",750111483,75
"581",750112319,140
"582",750117418,140
"583",750115391,75
"584",750110469,1
"585",750110531,140
"586",750110480,1
"587",750115790,189
"588",750115771,1
"589",750112575,140
"590",750110095,1
"591",750116254,140
"592",750116261,140
"593",750115382,1
"594",750117428,75
"595",750112558,140
"596",750115774,1
"597",750109051,1
"598",750146494,75
"599",750113748,140
"600",750113747,140
"601",750117946,1
"602",750109624,1
"603",750112574,140
"604",750116148,140
"605",750109622,1
"606",750116131,140
"607",750110449,140
"608",750116124,140
"609",750110452,140
"610",750115340,1
"611",750110460,140
"612",750117999,1
"613",750115854,189
"614",750171726,1
"615",750117986,1
"616",750110465,140
"617",750110459,140
"618",750117948,1
"619",750110470,1
"620",750115751,140
"621",750110518,140
"622",750111364,1
"623",750112328,140
"624",750108695,140
"625",750110503,140
"626",750108692,140
"627",750115930,140
"628",750112548,140
"629",750118106,1
"630",750110472,1
"631",750116255,140
"632",750110090,1
"633",750171732,1
"634",750116259,140
"635",750113787,140
"636",750111513,75
"637",750111023,1
"638",750116269,140
"639",750118109,1
"640",750115783,1
"641",750110114,75
"642",750115373,1
"643",750117959,1
"644",750117944,1
"645",750108485,140
"646",750117965,1
"647",750116276,140
"648",750117955,1
"649",750116257,140
"650",750115859,189
"651",750110082,1
"652",750109049,1
"653",750117424,140
"654",750117968,1
"655",750117980,1
"656",750108872,140
"657",750111525,75
"658",750117419,140
"659",750108700,140
"660",750108691,140
"661",750110478,1
"662",750118096,1
"663",750115772,1
"664",750115404,75
"665",750111475,75
"666",750117983,1
"667",750110541,140
"668",750109050,1
"669",750114931,1
"670",750111355,1
"671",750111352,1
"672",750115752,140
"673",750116266,140
"674",750115402,75
"675",750113767,287
"676",750115375,1
"677",750144337,193
"678",750111021,1
"679",750115768,140
"680",750110507,140
"681",750142463,75
"682",750146490,75
"683",750109626,1
"684",750109620,1
"685",750110457,140
"686",750113722,140
"687",750108324,165
"688",750109091,140
"689",750117285,189
"690",750110443,140
"691",750112576,140
"692",750108323,165
"693",750109952,1
"694",750110103,75
"695",750116429,1
"696",750112557,140
"697",750114936,1
"698",750108875,140
"699",750110461,140
"700",750110539,140
"701",750162829,75
"702",750115766,140
"703",750112316,140
"704",750112314,140
"705",750117995,1
"706",750158737,75
"707",750114963,1
"708",750158741,75
"709",750114973,1
"710",750112549,140
"711",750116270,140
"712",750110485,1
"713",750117947,1
"714",750115388,75
"715",750111350,1
"716",750110481,1
"717",750111515,75
"718",750118778,1
"719",750118110,1
"720",750115761,140
"721",750115385,1
"722",750117960,1
"723",750112567,140
"724",750117975,1
"725",750108486,140
"726",750117951,1
"727",750109966,140
"728",750109621,1
"729",750109623,1
"730",750117941,1
"731",750112577,140
"732",750112572,140
"733",750115779,1
"734",750118116,1
"735",750113729,140
"736",750111307,1
"737",750114968,1
"738",750115347,1
"739",750115785,1
"740",750116139,140
"741",750110474,1
"742",750110467,1
"743",750118285,1
"744",750115401,75
"745",750117636,140
"746",750115397,75
"747",750117434,75
"748",750115406,75
"749",750117634,140
"750",750111313,1
"751",750110488,140
