"","X","libelle.complet","index","libelle","numero","rue","arrondissement","N_SQ_AD"
"217",218,"ECOLE MATERNELLE 16 RUE DU COLONEL MOLL - PARIS 17",218,"ECOLE MATERNELLE","16","RUE DU COLONEL MOLL",17,750132983
"218",219,"ECOLE ÉLÉMENTAIRE 16 RUE DU COLONEL MOLL - PARIS 17",219,"ECOLE ÉLÉMENTAIRE","16","RUE DU COLONEL MOLL",17,750132983
"219",220,"ECOLE MATERNELLE 20 RUE PAUL VALERY - PARIS 16",220,"ECOLE MATERNELLE","20","RUE PAUL VALERY",16,750127304
"220",221,"ECOLE ÉLÉMENTAIRE 18 RUE PAUL VALERY - PARIS 16",221,"ECOLE ÉLÉMENTAIRE","18","RUE PAUL VALERY",16,750127303
"221",222,"ECOLE MATERNELLE 7 AVENUE MAURICE D'OCAGNE - PARIS 14",222,"ECOLE MATERNELLE","7","AV MAURICE D'OCAGNE",14,750140921
"222",223,"ECOLE ÉLÉMENTAIRE 7 AVENUE MAURICE D'OCAGNE - PARIS 14",223,"ECOLE ÉLÉMENTAIRE","7","AV MAURICE D'OCAGNE",14,750140921
"223",224,"ECOLE MATERNELLE 141 AVENUE DE VERSAILLES - PARIS 16",224,"ECOLE MATERNELLE","141","AV DE VERSAILLES",16,750129896
"224",225,"COLLÈGE JEAN-BAPTISTE SAY 11 BIS RUE D'AUTEUIL - PARIS 16",225,"COLLÈGE JEAN-BAPTISTE SAY","11BIS","RUE D'AUTEUIL",16,750119385
"225",226,"COLLÈGE MME DE STAEL 14 RUE DE STAEL - PARIS 15",226,"COLLÈGE MME DE STAEL","14","RUE DE STAEL",15,750117365
"226",227,"ECOLE ÉLÉMENTAIRE 41B RUE JEAN DE LA FONTAINE - PARIS 16",227,"ECOLE ÉLÉMENTAIRE","41B","RUE JEAN DE LA FONTAINE",16,750164326
"227",228,"COLLÈGE G APOLLINAIRE 39 AVENUE EMILE ZOLA - PARIS 15",228,"COLLÈGE G APOLLINAIRE","39","AV EMILE ZOLA",15,NA
"228",229,"ECOLE ÉLÉMENTAIRE 12 RUE D'ALESIA - PARIS 14",229,"ECOLE ÉLÉMENTAIRE","12","RUE D'ALESIA",14,750098513
"229",230,"ECOLE MATERNELLE 14 RUE EBLE - PARIS 07",230,"ECOLE MATERNELLE","14","RUE EBLE",7,750031304
"230",231,"ECOLE ÉLÉMENTAIRE 42 AVENUE DUQUESNE - PARIS 07",231,"ECOLE ÉLÉMENTAIRE","42","AV DUQUESNE",7,750031222
"231",232,"ECOLE ÉLÉMENTAIRE 14 RUE EBLE - PARIS 07",232,"ECOLE ÉLÉMENTAIRE","14","RUE EBLE",7,750031304
"232",233,"ECOLE MATERNELLE 7 SQUARE ALAIN-FOURNIER - PARIS 14",233,"ECOLE MATERNELLE","7","SQ ALAIN-FOURNIER",14,750167067
"233",234,"ECOLE ÉLÉMENTAIRE 5 SQUARE ALAIN-FOURNIER - PARIS 14",234,"ECOLE ÉLÉMENTAIRE","5","SQ ALAIN-FOURNIER",14,750167066
"234",235,"ECOLE MATERNELLE 9 RUE VARET - PARIS 15",235,"ECOLE MATERNELLE","9","RUE VARET",15,750117805
"235",236,"ECOLE ÉLÉMENTAIRE 197 RUE SAINT CHARLES - PARIS 15",236,"ECOLE ÉLÉMENTAIRE","197","RUE SAINT CHARLES",15,750116775
"236",237,"ECOLE MATERNELLE 15B RUE SAINT DIDIER - PARIS 16",237,"ECOLE MATERNELLE","15B","RUE SAINT DIDIER",16,750128796
"237",238,"ECOLE MATERNELLE 3 RUE JONGKIND - PARIS 15",238,"ECOLE MATERNELLE","3","RUE JONGKIND",15,750113410
"238",239,"ECOLE MATERNELLE 24 RUE CHRISTINE DE PISAN - PARIS 17",239,"ECOLE MATERNELLE","24","RUE CHRISTINE DE PISAN",17,750132657
"239",240,"ECOLE MATERNELLE 34 RUE OLIVIER DE SERRES - PARIS 15",240,"ECOLE MATERNELLE","34","RUE OLIVIER DE SERRES",15,750115663
"240",241,"ECOLE ÉLÉMENTAIRE 27 RUE OLIVIER DE SERRES - PARIS 15",241,"ECOLE ÉLÉMENTAIRE","27","RUE OLIVIER DE SERRES",15,750115610
"241",242,"ECOLE MATERNELLE 99 RUE OLIVIER DE SERRES - PARIS 15",242,"ECOLE MATERNELLE","99","RUE OLIVIER DE SERRES",15,750115644
"242",243,"ECOLE ÉLÉMENTAIRE 99 RUE OLIVIER DE SERRES - PARIS 15",243,"ECOLE ÉLÉMENTAIRE","99","RUE OLIVIER DE SERRES",15,750115644
"243",244,"ECOLE MATERNELLE 2 RUE MAURICE ROUVIER - PARIS 14",244,"ECOLE MATERNELLE","2","RUE MAURICE ROUVIER",14,750103340
"244",245,"ECOLE ÉLÉMENTAIRE 8 RUE MAURICE ROUVIER - PARIS 14",245,"ECOLE ÉLÉMENTAIRE","8","RUE MAURICE ROUVIER",14,750103343
"245",246,"ECOLE MATERNELLE 190 RUE D'ALESIA - PARIS 14",246,"ECOLE MATERNELLE","190","RUE D'ALESIA",14,750098602
"246",247,"ECOLE ÉLÉMENTAIRE 188 RUE D'ALESIA - PARIS 14",247,"ECOLE ÉLÉMENTAIRE","188","RUE D'ALESIA",14,750098601
"247",248,"COLLÈGE ALBERTO GIACOMETTI 7 RUE DU CANGE - PARIS 14",248,"COLLÈGE ALBERTO GIACOMETTI","7","RUE DU CANGE",14,750100800
"248",249,"ECOLE MATERNELLE 162 BOULEVARD MURAT - PARIS 16",249,"ECOLE MATERNELLE","162","BD MURAT",16,750126654
"249",250,"ECOLE ÉLÉMENTAIRE 162 BOULEVARD MURAT - PARIS 16",250,"ECOLE ÉLÉMENTAIRE","162","BD MURAT",16,750126654
"250",251,"ECOLE MATERNELLE 22 RUE SEXTIUS MICHEL - PARIS 15",251,"ECOLE MATERNELLE","22","RUE SEXTIUS MICHEL",15,750117313
"251",252,"ECOLE ÉLÉMENTAIRE 25 RUE ROUELLE - PARIS 15",252,"ECOLE ÉLÉMENTAIRE","25","RUE ROUELLE",15,750116626
"252",253,"ECOLE MATERNELLE 2 RUE THEODORE DECK - PARIS 15",253,"ECOLE MATERNELLE","2","RUE THEODORE DECK",15,750117615
"253",254,"ECOLE ÉLÉMENTAIRE A 10 RUE SAINT LAMBERT - PARIS 15",254,"ECOLE ÉLÉMENTAIRE A","10","RUE SAINT LAMBERT",15,750117027
"254",255,"ECOLE ÉLÉMENTAIRE 28 RUE DOMBASLE - PARIS 15",255,"ECOLE ÉLÉMENTAIRE","28","RUE DOMBASLE",15,750110425
"255",256,"ECOLE ÉLÉMENTAIRE 3 IMPASSE DES BELLES FEUILLES - PARIS 16",256,"ECOLE ÉLÉMENTAIRE","3","IMP DES BELLES FEUILLES",16,750119632
"256",257,"ECOLE MATERNELLE 130 RUE DE LONGCHAMP - PARIS 16",257,"ECOLE MATERNELLE","130","RUE DE LONGCHAMP",16,750125163
"257",258,"ECOLE ÉLÉMENTAIRE 130 RUE DE LONGCHAMP - PARIS 16",258,"ECOLE ÉLÉMENTAIRE","130","RUE DE LONGCHAMP",16,750125163
"258",259,"COLLÈGE CARNOT 145 BOULEVARD MALESHERBES - PARIS 17",259,"COLLÈGE CARNOT","145","BD MALESHERBES",17,750136740
"259",260,"ECOLE MATERNELLE 48 RUE HIPPOLYTE MAINDRON - PARIS 14",260,"ECOLE MATERNELLE","48","RUE HIPPOLYTE MAINDRON",14,750102162
"260",261,"ECOLE ÉLÉMENTAIRE 48 RUE HIPPOLYTE MAINDRON - PARIS 14",261,"ECOLE ÉLÉMENTAIRE","48","RUE HIPPOLYTE MAINDRON",14,750102162
"261",262,"ECOLE MATERNELLE 16 RUE EMERIAU - PARIS 15",262,"ECOLE MATERNELLE","16","RUE EMERIAU",15,750110832
"262",263,"ECOLE ÉLÉMENTAIRE 10 RUE EMERIAU - PARIS 15",263,"ECOLE ÉLÉMENTAIRE","10","RUE EMERIAU",15,750110829
"263",264,"ECOLE MATERNELLE 33 RUE DE L AMIRAL ROUSSIN - PARIS 15",264,"ECOLE MATERNELLE","33","RUE DE L AMIRAL ROUSSIN",15,750107019
"264",265,"ECOLE ÉLÉMENTAIRE 35 RUE DE L AMIRAL ROUSSIN - PARIS 15",265,"ECOLE ÉLÉMENTAIRE","35","RUE DE L AMIRAL ROUSSIN",15,750107021
"265",266,"ECOLE ÉLÉMENTAIRE B 12 RUE SAINT LAMBERT - PARIS 15",266,"ECOLE ÉLÉMENTAIRE B","12","RUE SAINT LAMBERT",15,750117028
"266",267,"ECOLE ÉLÉMENTAIRE 12B RUE FOURCROY - PARIS 17",267,"ECOLE ÉLÉMENTAIRE","12B","RUE FOURCROY",17,750134356
"267",268,"ECOLE MATERNELLE 10 RUE SEVERO - PARIS 14",268,"ECOLE MATERNELLE","10","RUE SEVERO",14,750105850
"268",269,"ECOLE ÉLÉMENTAIRE 38-40 BOULEVARD DE REIMS - PARIS 17",269,"ECOLE ÉLÉMENTAIRE","38-40","BD DE REIMS",17,750138524
"269",270,"ECOLE MATERNELLE 20 RUE JOUFFROY D'ABBANS - PARIS 17",270,"ECOLE MATERNELLE","20","RUE JOUFFROY D'ABBANS",17,750135450
"270",271,"ECOLE ÉLÉMENTAIRE 20 RUE JOUFFROY D'ABBANS - PARIS 17",271,"ECOLE ÉLÉMENTAIRE","20","RUE JOUFFROY D'ABBANS",17,750135450
"271",272,"ECOLE MATERNELLE 77 RUE DE LA TOMBE ISSOIRE - PARIS 14",272,"ECOLE MATERNELLE","77","RUE DE LA TOMBE ISSOIRE",14,750106064
"272",273,"ECOLE ÉLÉMENTAIRE 4 RUE DECAMPS - PARIS 16",273,"ECOLE ÉLÉMENTAIRE","4","RUE DECAMPS",16,750121321
"273",274,"ECOLE MATERNELLE 55-61 RUE MAURICE RIPOCHE - PARIS 14",274,"ECOLE MATERNELLE","55-61","RUE MAURICE RIPOCHE",14,750103289
"274",275,"ECOLE ÉLÉMENTAIRE 7 RUE ASSELINE - PARIS 14",275,"ECOLE ÉLÉMENTAIRE","7","RUE ASSELINE",14,750098920
"275",276,"ECOLE MATERNELLE 56 AVENUE FELIX FAURE - PARIS 15",276,"ECOLE MATERNELLE","56","AV FELIX FAURE",15,750111647
"276",277,"ECOLE ÉLÉMENTAIRE 12 RUE SEVERO - PARIS 14",277,"ECOLE ÉLÉMENTAIRE","12","RUE SEVERO",14,750105851
"277",278,"ECOLE MATERNELLE 6 RUE LOUIS VIERNE - PARIS 17",278,"ECOLE MATERNELLE","6","RUE LOUIS VIERNE",17,750136661
"278",279,"ECOLE ÉLÉMENTAIRE 14 RUE BERNARD BUFFET - PARIS 17",279,"ECOLE ÉLÉMENTAIRE","14","RUE BERNARD BUFFET",17,750174762
"279",280,"ECOLE ÉLÉMENTAIRE 1 RUE GILBERT CESBRON - PARIS 17",280,"ECOLE ÉLÉMENTAIRE","1","RUE GILBERT CESBRON",17,750174566
"280",281,"ECOLE ÉLÉMENTAIRE 5 RUE JACQUES KELLNER - PARIS 17",281,"ECOLE ÉLÉMENTAIRE","5","RUE JACQUES KELLNER",17,750135194
"281",282,"ECOLE MATERNELLE 35 AVENUE EMILE ZOLA - PARIS 15",282,"ECOLE MATERNELLE","35","AV EMILE ZOLA",15,750110898
"282",283,"ECOLE MATERNELLE 90 BOULEVARD BESSIERES - PARIS 17",283,"ECOLE MATERNELLE","90","BD BESSIERES",17,750131700
"283",284,"ECOLE ÉLÉMENTAIRE 92 BOULEVARD BESSIERES - PARIS 17",284,"ECOLE ÉLÉMENTAIRE","92","BD BESSIERES",17,750131701
"284",285,"COLLÈGE H DE BALZAC 118 BOULEVARD BESSIERES - PARIS 17",285,"COLLÈGE H DE BALZAC","118","BD BESSIERES",17,750131714
"285",286,"ECOLE ÉLÉMENTAIRE 78 RUE DE LA CONVENTION - PARIS 15",286,"ECOLE ÉLÉMENTAIRE","78","RUE DE LA CONVENTION",15,750109491
"286",287,"ECOLE MATERNELLE 61 CITE DES FLEURS - PARIS 17",287,"ECOLE MATERNELLE","61","CITE DES FLEURS",17,750134231
"287",288,"ECOLE ÉLÉMENTAIRE 10 RUE BOURSAULT - PARIS 17",288,"ECOLE ÉLÉMENTAIRE","10","RUE BOURSAULT",17,750131950
"288",289,"COLLÈGE CHAPTAL 45 BOULEVARD DES BATIGNOLLES - PARIS 08",289,"COLLÈGE CHAPTAL","45","BD DES BATIGNOLLES",8,750034867
"289",290,"ECOLE MATERNELLE 44 RUE DES EPINETTES - PARIS 17",290,"ECOLE MATERNELLE","44","RUE DES EPINETTES",17,750134008
"290",291,"ECOLE MATERNELLE 22 RUE ANTOINE CHANTIN - PARIS 14",291,"ECOLE MATERNELLE","22","RUE ANTOINE CHANTIN",14,750098803
"291",292,"ECOLE ÉLÉMENTAIRE 13 AVENUE DE LA SIBELLE - PARIS 14",292,"ECOLE ÉLÉMENTAIRE","13","AV DE LA SIBELLE",14,750155003
"292",293,"ECOLE ÉLÉMENTAIRE 42 RUE DES EPINETTES - PARIS 17",293,"ECOLE ÉLÉMENTAIRE","42","RUE DES EPINETTES",17,750134007
"293",294,"ECOLE MATERNELLE 5 AVENUE DE LA PORTE BRANCION - PARIS 15",294,"ECOLE MATERNELLE","5","AV DE LA PORTE BRANCION",15,750116154
"294",295,"ECOLE ÉLÉMENTAIRE 5 AVENUE DE LA PORTE BRANCION - PARIS 15",295,"ECOLE ÉLÉMENTAIRE","5","AV DE LA PORTE BRANCION",15,750116154
"295",296,"ECOLE ÉLÉMENTAIRE 5 RUE MARGUERITE LONG - PARIS 17",296,"ECOLE ÉLÉMENTAIRE","5","RUE MARGUERITE LONG",17,750158993
"296",297,"ECOLE MATERNELLE 21 RUE ANDRE BRECHET - PARIS 17",297,"ECOLE MATERNELLE","21","RUE ANDRE BRECHET",17,750130940
"297",298,"ECOLE ÉLÉMENTAIRE 6 RUE LECOMTE - PARIS 17",298,"ECOLE ÉLÉMENTAIRE","6","RUE LECOMTE",17,750136126
"298",299,"ECOLE MATERNELLE 6 RUE GERBERT - PARIS 15",299,"ECOLE MATERNELLE","6","RUE GERBERT",15,750112479
"299",300,"ECOLE ÉLÉMENTAIRE 15 RUE TRUFFAUT - PARIS 17",300,"ECOLE ÉLÉMENTAIRE","15","RUE TRUFFAUT",17,750139855
"300",301,"ECOLE ÉLÉMENTAIRE 56 AVENUE FELIX FAURE - PARIS 15",301,"ECOLE ÉLÉMENTAIRE","56","AV FELIX FAURE",15,750111647
"301",302,"ECOLE MATERNELLE 13 AVENUE ARMAND ROUSSEAU - PARIS 12",302,"ECOLE MATERNELLE","13","AV ARMAND ROUSSEAU",12,750057818
"302",303,"ECOLE ÉLÉMENTAIRE 315 RUE DE CHARENTON - PARIS 12",303,"ECOLE ÉLÉMENTAIRE","315","RUE DE CHARENTON",12,750058779
"303",304,"COLLÈGE GERMAINE TILLON 8 AVENUE VINCENT D'INDY - PARIS 12",304,"COLLÈGE GERMAINE TILLON","8","AV VINCENT D'INDY",12,750064917
"304",305,"ECOLE MATERNELLE 15 RUE DE DOMREMY - PARIS 13",305,"ECOLE MATERNELLE","15","RUE DE DOMREMY",13,750069145
"305",306,"ECOLE MATERNELLE 18 RUE FAIDHERBE - PARIS 11",306,"ECOLE MATERNELLE","18","RUE FAIDHERBE",11,750051962
"306",307,"ECOLE MATERNELLE 16 RUE CHARLES BAUDELAIRE - PARIS 12",307,"ECOLE MATERNELLE","16","RUE CHARLES BAUDELAIRE",12,750059133
"307",308,"ECOLE ÉLÉMENTAIRE 8 RUE CHARLES BAUDELAIRE - PARIS 12",308,"ECOLE ÉLÉMENTAIRE","8","RUE CHARLES BAUDELAIRE",12,750059129
"308",309,"ECOLE MATERNELLE 9 RUE DE LESSEPS - PARIS 20",309,"ECOLE MATERNELLE","9","RUE DE LESSEPS",20,750091012
"309",310,"ECOLE ÉLÉMENTAIRE B 9 RUE DE LESSEPS - PARIS 20",310,"ECOLE ÉLÉMENTAIRE B","9","RUE DE LESSEPS",20,750091012
"310",311,"ECOLE ÉLÉMENTAIRE A 11 RUE DE LESSEPS - PARIS 20",311,"ECOLE ÉLÉMENTAIRE A","11","RUE DE LESSEPS",20,750091013
"311",312,"ECOLE MATERNELLE 12 RUE DE FONTARABIE - PARIS 20",312,"ECOLE MATERNELLE","12","RUE DE FONTARABIE",20,750089080
"312",313,"ECOLE MATERNELLE 15 RUE D'EUPATORIA - PARIS 20",313,"ECOLE MATERNELLE","15","RUE D'EUPATORIA",20,750088931
"313",314,"ECOLE MATERNELLE 28 AVENUE STEPHEN PICHON - PARIS 13",314,"ECOLE MATERNELLE","28","AV STEPHEN PICHON",13,750073936
"314",315,"ECOLE ÉLÉMENTAIRE 13 RUE FAGON - PARIS 13",315,"ECOLE ÉLÉMENTAIRE","13","RUE FAGON",13,750069666
"315",316,"ECOLE MATERNELLE 42 AVENUE DU DR ARNOLD NETTER - PARIS 12",316,"ECOLE MATERNELLE","42","AV DU DR ARNOLD NETTER",12,750060452
"316",317,"ECOLE ÉLÉMENTAIRE 166 RUE PELLEPORT - PARIS 20",317,"ECOLE ÉLÉMENTAIRE","166","RUE PELLEPORT",20,750093290
"317",318,"ECOLE MATERNELLE 11 RUE AUGUSTE PERRET - PARIS 13",318,"ECOLE MATERNELLE","11","RUE AUGUSTE PERRET",13,750066328
"318",319,"ECOLE ÉLÉMENTAIRE 9 RUE AUGUSTE PERRET - PARIS 13",319,"ECOLE ÉLÉMENTAIRE","9","RUE AUGUSTE PERRET",13,750066327
"319",320,"COLLÈGE GABRIEL FAURE 81 AVENUE DE CHOISY - PARIS 13",320,"COLLÈGE GABRIEL FAURE","81","AV DE CHOISY",13,750068051
"320",321,"ECOLE MATERNELLE 24 RUE DU RETRAIT - PARIS 20",321,"ECOLE MATERNELLE","24","RUE DU RETRAIT",20,750094709
"321",322,"ECOLE ÉLÉMENTAIRE A 293 RUE DES PYRENEES - PARIS 20",322,"ECOLE ÉLÉMENTAIRE A","293","RUE DES PYRENEES",20,750094178
"322",323,"ECOLE ÉLÉMENTAIRE B 291 RUE DES PYRENEES - PARIS 20",323,"ECOLE ÉLÉMENTAIRE B","291","RUE DES PYRENEES",20,750094177
"323",324,"ECOLE MATERNELLE 31 RUE DES MARAICHERS - PARIS 20",324,"ECOLE MATERNELLE","31","RUE DES MARAICHERS",20,750091419
"324",325,"ECOLE ÉLÉMENTAIRE 40 RUE DES PYRENEES - PARIS 20",325,"ECOLE ÉLÉMENTAIRE","40","RUE DES PYRENEES",20,750094396
"325",326,"ECOLE MATERNELLE 111 AVENUE PARMENTIER - PARIS 11",326,"ECOLE MATERNELLE","111","AV PARMENTIER",11,750054683
"326",327,"ECOLE ÉLÉMENTAIRE 109 AVENUE PARMENTIER - PARIS 11",327,"ECOLE ÉLÉMENTAIRE","109","AV PARMENTIER",11,750054682
"327",328,"COLLÈGE LUCIE ET RAYMOND AUBRAC 62 RUE DE LA FONTAINE AU ROI - PARIS 11",328,"COLLÈGE LUCIE ET RAYMOND AUBRAC","62","RUE DE LA FONTAINE AU ROI",11,750052511
"328",329,"ECOLE MATERNELLE 11 RUE LEON SCHWARTZENBERG - PARIS 10",329,"ECOLE MATERNELLE","11","RUE LEON SCHWARTZENBERG",10,750167150
"329",330,"ECOLE ÉLÉMENTAIRE 41 RUE DE CHABROL - PARIS 10",330,"ECOLE ÉLÉMENTAIRE","41","RUE DE CHABROL",10,750045890
"330",331,"ECOLE MATERNELLE 39 RUE SAINT BERNARD - PARIS 11",331,"ECOLE MATERNELLE","39","RUE SAINT BERNARD",11,750056140
"331",332,"ECOLE ÉLÉMENTAIRE 31 RUE SAINT BERNARD - PARIS 11",332,"ECOLE ÉLÉMENTAIRE","31","RUE SAINT BERNARD",11,750056136
"332",333,"ECOLE MATERNELLE 40 RUE DES MEUNIERS - PARIS 12",333,"ECOLE MATERNELLE","40","RUE DES MEUNIERS",12,750062381
"333",334,"ECOLE MATERNELLE 29 RUE DU TELEGRAPHE - PARIS 20",334,"ECOLE MATERNELLE","29","RUE DU TELEGRAPHE",20,750095817
"334",335,"ECOLE MATERNELLE 12 RUE DE L'ESPERANCE - PARIS 13",335,"ECOLE MATERNELLE","12","RUE DE L'ESPERANCE",13,750069541
"335",336,"ECOLE ÉLÉMENTAIRE 38 RUE VANDREZANNE - PARIS 13",336,"ECOLE ÉLÉMENTAIRE","38","RUE VANDREZANNE",13,750074472
"336",337,"ECOLE ÉLÉMENTAIRE 29 RUE DU TELEGRAPHE - PARIS 20",337,"ECOLE ÉLÉMENTAIRE","29","RUE DU TELEGRAPHE",20,750095817
"337",338,"ECOLE MATERNELLE 99-101 RUE PELLEPORT - PARIS 20",338,"ECOLE MATERNELLE","99-101","RUE PELLEPORT",20,750093198
"338",339,"ECOLE MATERNELLE 28 RUE DES ECLUSES ST MARTIN - PARIS 10",339,"ECOLE MATERNELLE","28","RUE DES ECLUSES ST MARTIN",10,750046540
"339",340,"ECOLE ÉLÉMENTAIRE 10 RUE EUGENE VARLIN - PARIS 10",340,"ECOLE ÉLÉMENTAIRE","10","RUE EUGENE VARLIN",10,750046616
"340",341,"COLLÈGE GRANGE AUX BELLES 158 QUAI DE JEMMAPES - PARIS 10",341,"COLLÈGE GRANGE AUX BELLES","158","QU DE JEMMAPES",10,750047829
"341",342,"ECOLE MATERNELLE 253B AVENUE DAUMESNIL - PARIS 12",342,"ECOLE MATERNELLE","253B","AV DAUMESNIL",12,750059933
"342",343,"ECOLE ÉLÉMENTAIRE 253T AVENUE DAUMESNIL - PARIS 12",343,"ECOLE ÉLÉMENTAIRE","253T","AV DAUMESNIL",12,750059933
"343",344,"ECOLE ÉLÉMENTAIRE 83 AVENUE DU GAL MICHEL BIZOT - PARIS 12",344,"ECOLE ÉLÉMENTAIRE","83","AV DU GAL MICHEL BIZOT",12,750061236
"344",345,"ECOLE MATERNELLE 99 RUE DES PYRENEES - PARIS 20",345,"ECOLE MATERNELLE","99","RUE DES PYRENEES",20,750094214
"345",346,"ECOLE ÉLÉMENTAIRE 97 RUE DES PYRENEES - PARIS 20",346,"ECOLE ÉLÉMENTAIRE","97","RUE DES PYRENEES",20,750094213
"346",347,"ECOLE MATERNELLE 26 RUE DE LA COUR DES NOUES - PARIS 20",347,"ECOLE MATERNELLE","26","RUE DE LA COUR DES NOUES",20,750087813
"347",348,"ECOLE ÉLÉMENTAIRE 15 RUE SORBIER - PARIS 20",348,"ECOLE ÉLÉMENTAIRE","15","RUE SORBIER",20,750095521
"348",349,"ECOLE MATERNELLE 21 RUE DE LA BIDASSOA - PARIS 20",349,"ECOLE MATERNELLE","21","RUE DE LA BIDASSOA",20,750086715
"349",350,"ECOLE MATERNELLE 16 RUE MARSOULAN - PARIS 12",350,"ECOLE MATERNELLE","16","RUE MARSOULAN",12,750062268
"350",351,"ECOLE ÉLÉMENTAIRE 19 RUE MARSOULAN - PARIS 12",351,"ECOLE ÉLÉMENTAIRE","19","RUE MARSOULAN",12,750062249
"351",352,"ECOLE MATERNELLE 18 RUE DE L'HOPITAL ST LOUIS - PARIS 10",352,"ECOLE MATERNELLE","18","RUE DE L'HOPITAL ST LOUIS",10,750047600
"352",353,"ECOLE ÉLÉMENTAIRE 5 RUE DE L HOPITAL ST LOUIS - PARIS 10",353,"ECOLE ÉLÉMENTAIRE","5","RUE DE L HOPITAL ST LOUIS",10,NA
"353",354,"ECOLE ÉLÉMENTAIRE 8 CITE VOLTAIRE - PARIS 11",354,"ECOLE ÉLÉMENTAIRE","8","CITE VOLTAIRE",11,750057576
"354",355,"ECOLE MATERNELLE 32 RUE DE PALI KAO - PARIS 20",355,"ECOLE MATERNELLE","32","RUE DE PALI KAO",20,750092802
"355",356,"ECOLE ÉLÉMENTAIRE 38 RUE DE TOURTILLE - PARIS 20",356,"ECOLE ÉLÉMENTAIRE","38","RUE DE TOURTILLE",20,750096041
"356",357,"ECOLE MATERNELLE 29 AVENUE GAMBETTA - PARIS 20",357,"ECOLE MATERNELLE","29","AV GAMBETTA",20,750089322
"357",358,"ECOLE MATERNELLE 52 RUE PLANCHAT - PARIS 20",358,"ECOLE MATERNELLE","52","RUE PLANCHAT",20,750093760
"358",359,"ECOLE ÉLÉMENTAIRE 54 RUE PLANCHAT - PARIS 20",359,"ECOLE ÉLÉMENTAIRE","54","RUE PLANCHAT",20,750093761
"359",360,"ECOLE MATERNELLE 4 SQUARE LAMARCK - PARIS 18",360,"ECOLE MATERNELLE","4","SQ LAMARCK",18,750080573
"360",361,"ECOLE ÉLÉMENTAIRE A 67 RUE DAMREMONT - PARIS 18",361,"ECOLE ÉLÉMENTAIRE A","67","RUE DAMREMONT",18,750078049
"361",362,"ECOLE ÉLÉMENTAIRE B 65 RUE DAMREMONT - PARIS 18",362,"ECOLE ÉLÉMENTAIRE B","65","RUE DAMREMONT",18,750078048
"362",363,"ECOLE MATERNELLE 52 RUE VAUVENARGUES - PARIS 18",363,"ECOLE MATERNELLE","52","RUE VAUVENARGUES",18,750085443
"363",364,"ECOLE ÉLÉMENTAIRE 50 RUE VAUVENARGUES - PARIS 18",364,"ECOLE ÉLÉMENTAIRE","50","RUE VAUVENARGUES",18,750085442
"364",365,"ECOLE MATERNELLE 33-41 RUE DES CLOYS - PARIS 18",365,"ECOLE MATERNELLE","33-41","RUE DES CLOYS",18,750077719
"365",366,"ECOLE MATERNELLE 45 RUE DE PICPUS - PARIS 12",366,"ECOLE MATERNELLE","45","RUE DE PICPUS",12,750063011
"366",367,"ECOLE ÉLÉMENTAIRE A 56 RUE DE PICPUS (ECOLE A) - PARIS 12",367,"ECOLE ÉLÉMENTAIRE A","56","RUE DE PICPUS (ECOLE A)",12,750063072
"367",368,"ECOLE ÉLÉMENTAIRE B 56 RUE DE PICPUS (ECOLE B) - PARIS 12",368,"ECOLE ÉLÉMENTAIRE B","56","RUE DE PICPUS (ECOLE B)",12,750063072
"368",369,"ECOLE MATERNELLE 1 PLACE CONSTANTIN PECQUEUR - PARIS 18",369,"ECOLE MATERNELLE","1","PL CONSTANTIN PECQUEUR",18,750077781
"369",370,"ECOLE ÉLÉMENTAIRE 62 RUE LEPIC - PARIS 18",370,"ECOLE ÉLÉMENTAIRE","62","RUE LEPIC",18,750080933
"370",371,"ECOLE MATERNELLE 11 RUE ANDRE DEL SARTE - PARIS 18",371,"ECOLE MATERNELLE","11","RUE ANDRE DEL SARTE",18,750075383
"371",372,"ECOLE ÉLÉMENTAIRE 61 RUE DE CLIGNANCOURT - PARIS 18",372,"ECOLE ÉLÉMENTAIRE","61","RUE DE CLIGNANCOURT",18,750077526
"372",373,"ECOLE MATERNELLE 36-38 RUE PIAT - PARIS 20",373,"ECOLE MATERNELLE","36-38","RUE PIAT",20,750093441
"373",374,"ECOLE ÉLÉMENTAIRE 1 RUE LEVERT - PARIS 20",374,"ECOLE ÉLÉMENTAIRE","1","RUE LEVERT",20,750091084
"374",375,"ECOLE ÉLÉMENTAIRE 20 RUE HERMEL - PARIS 18",375,"ECOLE ÉLÉMENTAIRE","20","RUE HERMEL",18,750079814
"375",376,"ECOLE MATERNELLE 72 RUE CHAMPIONNET - PARIS 18",376,"ECOLE MATERNELLE","72","RUE CHAMPIONNET",18,750076775
"376",377,"ECOLE ÉLÉMENTAIRE 69 RUE CHAMPIONNET - PARIS 18",377,"ECOLE ÉLÉMENTAIRE","69","RUE CHAMPIONNET",18,750076650
"377",378,"ECOLE MATERNELLE 4 PLACE JEAN BAPTISTE CLEMENT - PARIS 18",378,"ECOLE MATERNELLE","4","PL JEAN BAPTISTE CLEMENT",18,750079916
"378",379,"ECOLE MATERNELLE 14 RUE MERLIN - PARIS 11",379,"ECOLE MATERNELLE","14","RUE MERLIN",11,750053979
