"","X","libelle.complet","index","libelle","numero","rue","arrondissement","N_SQ_AD"
"99",100,"COLLÈGE AIME CESAIRE 22 RUE PAJOL - PARIS 18",100,"COLLÈGE AIME CESAIRE","22","RUE PAJOL",18,750082878
"100",101,"ECOLE ÉLÉMENTAIRE 15 RUE COLETTE MAGNY - PARIS 19",101,"ECOLE ÉLÉMENTAIRE","15","RUE COLETTE MAGNY",19,750172251
"101",102,"ECOLE ÉLÉMENTAIRE 17 RUE COLETTE MAGNY - PARIS 19",102,"ECOLE ÉLÉMENTAIRE","17","RUE COLETTE MAGNY",19,750172254
"102",103,"ECOLE ÉLÉMENTAIRE 14 RUE MATHIS - PARIS 19",103,"ECOLE ÉLÉMENTAIRE","14","RUE MATHIS",19,750018423
"103",104,"ECOLE MATERNELLE 34 RUE DU MAROC - PARIS 19",104,"ECOLE MATERNELLE","34","RUE DU MAROC",19,750018365
"104",105,"COLLÈGE GEORGES MELIES 43/47 RUE DE TANGER - PARIS 19",105,"COLLÈGE GEORGES MELIES","43/47","RUE DE TANGER",19,750021057
"105",106,"COLLÈGE EDMOND MICHELET 70 RUE DE L'OURCQ - PARIS 19",106,"COLLÈGE EDMOND MICHELET","70","RUE DE L'OURCQ",19,750019235
"106",107,"ECOLE MATERNELLE 63 RUE ARCHEREAU - PARIS 19",107,"ECOLE MATERNELLE","63","RUE ARCHEREAU",19,750013221
"107",108,"ECOLE MATERNELLE 29 RUE DE LA PREVOYANCE - PARIS 19",108,"ECOLE MATERNELLE","29","RUE DE LA PREVOYANCE",19,750019819
"108",109,"ECOLE ÉLÉMENTAIRE A 106 RUE COMPANS - PARIS 19",109,"ECOLE ÉLÉMENTAIRE A","106","RUE COMPANS",19,750014687
"109",110,"ECOLE ÉLÉMENTAIRE 7 RUE DU GENERAL BRUNET - PARIS 19",110,"ECOLE ÉLÉMENTAIRE","7","RUE DU GENERAL BRUNET",19,750016403
"110",111,"COLLÈGE GEORGES ROUAULT 3 RUE DU NOYER DURAND - PARIS 19",111,"COLLÈGE GEORGES ROUAULT","3","RUE DU NOYER DURAND",19,750019024
