"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"3749","2903","PLACE DU","DOCTEUR YERSIN",0,"",9999,"","p","Ecole maternelle 53 AVENUE DE LA PORTE D'IVRY - PARIS 13"
"3750","2904","AVENUE","DODE DE LA BRUNERIE",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"3751","2904","AVENUE","DODE DE LA BRUNERIE",0,"",9999,"","p","Ecole maternelle 27 AVENUE DU PARC DES PRINCES - PARIS 16"
"3752","2906","PASSAGE","DOISY",0,"",9999,"","i","Ecole maternelle 16 RUE DU COLONEL MOLL - PARIS 17"
"3753","2906","PASSAGE","DOISY",0,"",9999,"","p","Ecole maternelle 16 RUE DU COLONEL MOLL - PARIS 17"
"3754","2908","RUE","DOLOMIEU",0,"",9999,"","i","Ecole maternelle 29 RUE MOUFFETARD - PARIS 05"
"3755","2908","RUE","DOLOMIEU",0,"",9999,"","p","Ecole maternelle 29 RUE MOUFFETARD - PARIS 05"
"3756","2910","RUE","DOMAT",0,"",9999,"","i","Ecole maternelle 10 RUE DU SOMMERARD - PARIS 05"
"3757","2910","RUE","DOMAT",0,"",9999,"","p","Ecole maternelle 10 RUE DU SOMMERARD - PARIS 05"
"3758","2911","IMPASSE","DOMBASLE",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"3759","2911","IMPASSE","DOMBASLE",0,"",9999,"","p","Ecole élémentaire 28 rue Dombasle - PARIS 15"
"3760","2912","PASSAGE","DOMBASLE",0,"",9999,"","i","Ecole maternelle 42 RUE D'ALLERAY - PARIS 15"
"3761","2912","PASSAGE","DOMBASLE",0,"",9999,"","p","Ecole maternelle 42 RUE D'ALLERAY - PARIS 15"
"3762","2913","RUE","DOMBASLE",0,"",9999,"","i","Ecole maternelle 34 RUE OLIVIER DE SERRES - PARIS 15"
"3763","2913","RUE","DOMBASLE",0,"",9999,"","p","Ecole maternelle 34 RUE OLIVIER DE SERRES - PARIS 15"
"3764","2915","RUE DU","DOME",0,"",9999,"","i","Ecole maternelle 20 RUE PAUL VALERY - PARIS 16"
