"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"59","0025","RUE","ABEL FERRY",0,"",9999,"","i","Ecole élémentaire 162 BOULEVARD MURAT - PARIS 16"
"60","0025","RUE","ABEL FERRY",0,"",9999,"","p","Ecole élémentaire 162 BOULEVARD MURAT - PARIS 16"
"61","0026","RUE","ABEL GANCE",0,"",9999,"","i","Ecole élémentaire 8-10 RUE GEORGE BALANCHINE - PARIS 13"
"62","0026","RUE","ABEL GANCE",0,"",9999,"","p","Ecole élémentaire 8-10 RUE GEORGE BALANCHINE - PARIS 13"
"63","0027","RUE","ABEL HOVELACQUE",0,"",9999,"","i","Ecole élémentaire 13 RUE FAGON - PARIS 13"
"64","0027","RUE","ABEL HOVELACQUE",0,"",9999,"","p","Ecole élémentaire 13 RUE FAGON - PARIS 13"
"65","0028","RUELLE DU","PERE FRAGILE",0,"",9999,"","p","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"66","0028","RUELLE DU","PERE FRAGILE",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"67","0030","PASSAGE","ABEL LEBLANC",0,"",9999,"","i","Ecole élémentaire 5 RUE JEAN BOUTON - PARIS 12"
"68","0030","PASSAGE","ABEL LEBLANC",0,"",9999,"","i","Ecole élémentaire 40 BOULEVARD DIDEROT - PARIS 12"
"69","0030","PASSAGE","ABEL LEBLANC",0,"",9999,"","p","Ecole élémentaire 5 RUE JEAN BOUTON - PARIS 12"
"70","0030","PASSAGE","ABEL LEBLANC",0,"",9999,"","p","Ecole élémentaire 40 BOULEVARD DIDEROT - PARIS 12"
"71","0032","RUE","ABEL RABAUD",0,"",9999,"","i","Ecole élémentaire 109 AVENUE PARMENTIER - PARIS 11"
"72","0032","RUE","ABEL RABAUD",0,"",9999,"","p","Ecole élémentaire 109 AVENUE PARMENTIER - PARIS 11"
"73","0034","RUE","ABEL TRUCHET",0,"",9999,"","i","Ecole élémentaire 10 RUE BOURSAULT - PARIS 17"
"74","0034","RUE","ABEL TRUCHET",0,"",9999,"","p","Ecole élémentaire 15 RUE TRUFFAUT - PARIS 17"
"75","0036","RUE D","ABOUKIR",0,"",79,"","i","Ecole élémentaire 3 RUE DE LA JUSSIENNE - PARIS 02"
"76","0036","RUE D","ABOUKIR",79,"",9999,"","i","Ecole élémentaire 42 RUE DUSSOUBS - PARIS 02"
"77","0036","RUE D","ABOUKIR",0,"",78,"","p","Ecole élémentaire 3 RUE DE LA JUSSIENNE - PARIS 02"
"78","0036","RUE D","ABOUKIR",78,"",9999,"","p","Ecole élémentaire 42 RUE DUSSOUBS - PARIS 02"
"79","0038","RUE DE L","ABREUVOIR",0,"",9999,"","i","Ecole élémentaire 26 RUE DU MONT CENIS - PARIS 18"
"80","0038","RUE DE L","ABREUVOIR",0,"",9999,"","p","Ecole élémentaire 26 RUE DU MONT CENIS - PARIS 18"
"81","0041","PASSAGE DES","ACACIAS",0,"",9999,"","i","Ecole élémentaire 16 RUE DU COLONEL MOLL - PARIS 17"
"82","0041","PASSAGE DES","ACACIAS",0,"",9999,"","p","Ecole élémentaire 16 RUE DU COLONEL MOLL - PARIS 17"
"83","0042","RUE DES","ACACIAS",0,"",9999,"","i","Ecole élémentaire 16 RUE DU COLONEL MOLL - PARIS 17"
"84","0042","RUE DES","ACACIAS",0,"",9999,"","p","Ecole élémentaire 16 RUE DU COLONEL MOLL - PARIS 17"
"85","0044","RUE","ACHILLE",0,"",9999,"","i","Ecole élémentaire 15 RUE SORBIER - PARIS 20"
"86","0044","RUE","ACHILLE",0,"",9999,"","p","Ecole élémentaire 15 RUE SORBIER - PARIS 20"
"87","0046","RUE","ACHILLE LUCHAIRE",0,"",9999,"","i","Ecole élémentaire 20 RUE ANTOINE CHANTIN - PARIS 14"
