"SECTORISATION DES COLLEGES PUBLICS PARISIENS
Année scolaire 2015-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Code_voie","Type de voie","Nom de la voie","Ardt","N° Début exclu(sauf 0)","Bis Ter Quat.",N° fin inclus,"Bis Ter Quat.","Pair (P) Impair (I)","Code DASCO",,Collèges,,,,,,,,,,,,,,,,,,,
0018,PLACE DES,ABBESSES,18,0,,9999,,p,18094,0752108J,YVONNE LE TAC,,,,,,,,,,,,,,,,,,,
0019,RUE DES,ABBESSES,18,0,,9999,,i,18094,0752108J,YVONNE LE TAC,,,,,,,,,,,,,,,,,,,
0019,RUE DES,ABBESSES,18,0,,9999,,p,18094,0752108J,YVONNE LE TAC,,,,,,,,,,,,,,,,,,,
0020,RUE DE L,ABBE SOULANGE BODIN,14,0,,9999,,i,14096,0750445B,ALBERTO GIACOMETTI,,,,,,,,,,,,,,,,,,,
0020,RUE DE L,ABBE SOULANGE BODIN,14,0,,9999,,p,14096,0750445B,ALBERTO GIACOMETTI,,,,,,,,,,,,,,,,,,,
0021,RUE D,ABBEVILLE,10,0,,17,,i,09046,0752534X ,ALPHONSE DE LAMARTINE,,,,,,,,,,,,,,,,,,,
0021,RUE D,ABBEVILLE,09,17,,9999,,i,09029,0752532V,JACQUES DECOUR,,,,,,,,,,,,,,,,,,,
0021,RUE D,ABBEVILLE,10,0,,16,,p,09046,0752534X ,ALPHONSE DE LAMARTINE,,,,,,,,,,,,,,,,,,,
0021,RUE D,ABBEVILLE,09,16,,9999,,p,09029,0752532V,JACQUES DECOUR,,,,,,,,,,,,,,,,,,,
0023,RUE,ABEL,12,0,,9999,,i,12068,0750609E,PAUL VERLAINE,,,,,,,,,,,,,,,,,,,
0023,RUE,ABEL,12,0,,9999,,p,12068,0750609E,PAUL VERLAINE,,,,,,,,,,,,,,,,,,,
0024,PLACE DE L,ABBE FRANZ STOCK,16,0,,9999,,i,16052,0752547L,CLAUDE BERNARD,,,,,,,,,,,,,,,,,,,
0024,PLACE DE L,ABBE FRANZ STOCK,16,0,,9999,,p,16052,0752547L,CLAUDE BERNARD,,,,,,,,,,,,,,,,,,,
0025,RUE,ABEL FERRY,16,0,,9999,,i,16052,0752547L,CLAUDE BERNARD,,,,,,,,,,,,,,,,,,,
0025,RUE,ABEL FERRY,16,0,,9999,,p,16052,0752547L,CLAUDE BERNARD,,,,,,,,,,,,,,,,,,,
0026,RUE,ABEL GANCE,13,0,,9999,,i,13136,0755000C,THOMAS MANN,,,,,,,,,,,,,,,,,,,
0026,RUE,ABEL GANCE,13,0,,9999,,p,13136,0755000C,THOMAS MANN,,,,,,,,,,,,,,,,,,,
0027,RUE,ABEL HOVELACQUE,13,0,,9999,,i,13108,0752538B,AUGUSTE RODIN,,,,,,,,,,,,,,,,,,,
0027,RUE,ABEL HOVELACQUE,13,0,,9999,,p,13108,0752538B,AUGUSTE RODIN,,,,,,,,,,,,,,,,,,,
0028,RUELLE DU,PERE FRAGILE,15,0,,9999,,p,15097,0752546K,CAMILLE SEE,Nouvelle voie,,,,,,,,,,,,,,,,,,
0028,RUELLE DU,PERE FRAGILE,15,0,,9999,,i,15097,0752546K,CAMILLE SEE,Nouvelle voie,,,,,,,,,,,,,,,,,,
0030,PASSAGE,ABEL LEBLANC,12,0,,9999,,i,12070,0752189X,GUY FLAVIEN,,,,,,,,,,,,,,,,,,,
0030,PASSAGE,ABEL LEBLANC,12,0,,9999,,p,12070,0752189X,GUY FLAVIEN,,,,,,,,,,,,,,,,,,,
0032,RUE,ABEL RABAUD,11,0,,9999,,i,11032,0750465Y,LUCIE ET RAYMOND AUBRAC,,,,,,,,,,,,,,,,,,,
0032,RUE,ABEL RABAUD,11,0,,9999,,p,11032,0750465Y,LUCIE ET RAYMOND AUBRAC,,,,,,,,,,,,,,,,,,,
0034,RUE,ABEL TRUCHET,17,0,,9999,,i,08028,0751791P,CONDORCET,,,,,,,,,,,,,,,,,,,
0034,RUE,ABEL TRUCHET,17,0,,9999,,p,08028,0751791P,CONDORCET,,,,,,,,,,,,,,,,,,,
0036,RUE D,ABOUKIR,02,0,,79,,i,02007,0752248L,CESAR FRANCK,,,,,,,,,,,,,,,,,,,
0036,RUE D,ABOUKIR,02,79,,9999,,i,03027,0752523K,MONTGOLFIER,,,,,,,,,,,,,,,,,,,
0036,RUE D,ABOUKIR,02,0,,78,,p,02007,0752248L,CESAR FRANCK,,,,,,,,,,,,,,,,,,,
0036,RUE D,ABOUKIR,02,78,,9999,,p,03027,0752523K,MONTGOLFIER,,,,,,,,,,,,,,,,,,,
0038,RUE DE L,ABREUVOIR,18,0,,9999,,i,18094,0752108J,YVONNE LE TAC,,,,,,,,,,,,,,,,,,,
0038,RUE DE L,ABREUVOIR,18,0,,9999,,p,18094,0752108J,YVONNE LE TAC,,,,,,,,,,,,,,,,,,,
0041,PASSAGE DES,ACACIAS,17,0,,9999,,i,17054,0752387M,ANDRE MALRAUX,,,,,,,,,,,,,,,,,,,
0041,PASSAGE DES,ACACIAS,17,0,,9999,,p,17054,0752387M,ANDRE MALRAUX,,,,,,,,,,,,,,,,,,,
0042,RUE DES,ACACIAS,17,0,,9999,,i,17054,0752387M,ANDRE MALRAUX,,,,,,,,,,,,,,,,,,,
0042,RUE DES,ACACIAS,17,0,,9999,,p,17054,0752387M,ANDRE MALRAUX,,,,,,,,,,,,,,,,,,,
0044,RUE,ACHILLE,20,0,,9999,,i,20075,0750591K,HENRI MATISSE,,,,,,,,,,,,,,,,,,,
0044,RUE,ACHILLE,20,0,,9999,,p,20075,0750591K,HENRI MATISSE,,,,,,,,,,,,,,,,,,,
0046,RUE,ACHILLE LUCHAIRE,14,0,,9999,,i,14062,0751705W,ALPHONSE DAUDET,,,,,,,,,,,,,,,,,,,
0046,RUE,ACHILLE LUCHAIRE,14,0,,9999,,p,14062,0751705W,ALPHONSE DAUDET,,,,,,,,,,,,,,,,,,,
0048,RUE,ACHILLE MARTINET,18,0,,9999,,i,18091,0752319N,ANTOINE COYSEVOX,,,,,,,,,,,,,,,,,,,
0048,RUE,ACHILLE MARTINET,18,0,,9999,,p,18091,0752319N,ANTOINE COYSEVOX,,,,,,,,,,,,,,,,,,,
0051,SQUARE,ADANSON,05,0,,9999,,i,05034,0751790N,PIERRE ALVISET,,,,,,,,,,,,,,,,,,,
0051,SQUARE,ADANSON,05,0,,9999,,p,05034,0751790N,PIERRE ALVISET,,,,,,,,,,,,,,,,,,,
0053,RUE DE L,ADJUDANT REAU,20,0,,9999,,i,20103,0752198G,PIERRE MENDES FRANCE,,,,,,,,,,,,,,,,,,,
0053,RUE DE L,ADJUDANT REAU,20,0,,9999,,p,20103,0752198G,PIERRE MENDES FRANCE,,,,,,,,,,,,,,,,,,,
0054,PLACE DE L,ADJUDANT VINCENOT,20,0,,9999,,i,20103,0752198G,PIERRE MENDES FRANCE,,,,,,,,,,,,,,,,,,,
0054,PLACE DE L,ADJUDANT VINCENOT,20,0,,9999,,p,20103,0752198G,PIERRE MENDES FRANCE,,,,,,,,,,,,,,,,,,,
0055,RUE,ADOLPHE ADAM,04,0,,9999,,i,04007,0752693V,FRANCOIS COUPERIN,,,,,,,,,,,,,,,,,,,
0055,RUE,ADOLPHE ADAM,04,0,,9999,,p,04007,0752693V,FRANCOIS COUPERIN,,,,,,,,,,,,,,,,,,,
0057,PLACE,ADOLPHE CHERIOUX,15,0,,9999,,i,15097,0752546K,CAMILLE SEE,,,,,,,,,,,,,,,,,,,
0057,PLACE,ADOLPHE CHERIOUX,15,0,,9999,,p,15097,0752546K,CAMILLE SEE,,,,,,,,,,,,,,,,,,,
0059,RUE,ADOLPHE FOCILLON,14,0,,9999,,i,14061,0750611G,JEAN MOULIN,,,,,,,,,,,,,,,,,,,
0059,RUE,ADOLPHE FOCILLON,14,0,,9999,,p,14061,0750611G,JEAN MOULIN,,,,,,,,,,,,,,,,,,,
0060,RUE,ADOLPHE JULLIEN,01,0,,9999,,i,01006,0751703U,JEAN BAPTISTE POQUELIN,,,,,,,,,,,,,,,,,,,
0060,RUE,ADOLPHE JULLIEN,01,0,,9999,,p,01006,0751703U,JEAN BAPTISTE POQUELIN,,,,,,,,,,,,,,,,,,,
0061,PLACE,ADOLPHE MAX,09,0,,9999,,i,09044,0752533W,JULES FERRY,,,,,,,,,,,,,,,,,,,
0061,PLACE,ADOLPHE MAX,09,0,,9999,,p,09044,0752533W,JULES FERRY,,,,,,,,,,,,,,,,,,,
0062,RUE,ADOLPHE MILLE,19,0,,9999,,i,19137,0755095F,EDGAR VARESE,,,,,,,,,,,,,,,,,,,
0062,RUE,ADOLPHE MILLE,19,0,,9999,,p,19137,0755095F,EDGAR VARESE,,,,,,,,,,,,,,,,,,,
0064,RUE,ADOLPHE YVON,16,0,,9999,,i,16599,0752194C,JANSON DE SAILLY/EUGENE DELACROIX,m,,,,,,,,,,,,,,,,,,
0064,RUE,ADOLPHE YVON,16,0,,9999,,p,16599,0752194C,JANSON DE SAILLY/EUGENE DELACROIX,m,,,,,,,,,,,,,,,,,,
0066,VILLA DE L,ADOUR,19,0,,9999,,i,19004,0750360J,CLAUDE CHAPPE,,,,,,,,,,,,,,,,,,,
0066,VILLA DE L,ADOUR,19,0,,9999,,p,19004,0750360J,CLAUDE CHAPPE,,,,,,,,,,,,,,,,,,,
0068,AVENUE,ADRIEN HEBRARD,16,0,,9999,,i,16058,0752551R,MOLIERE,,,,,,,,,,,,,,,,,,,
0068,AVENUE,ADRIEN HEBRARD,16,0,,9999,,p,16058,0752551R,MOLIERE,,,,,,,,,,,,,,,,,,,
0071,CITE,ADRIENNE,20,0,,9999,,i,20075,0750591K,HENRI MATISSE,,,,,,,,,,,,,,,,,,,
0071,CITE,ADRIENNE,20,0,,9999,,p,20075,0750591K,HENRI MATISSE,,,,,,,,,,,,,,,,,,,
0072,VILLA,ADRIENNE,14,0,,9999,,i,14015,0754253R,SAINT EXUPERY,,,,,,,,,,,,,,,,,,,
0072,VILLA,ADRIENNE,14,0,,9999,,p,14015,0754253R,SAINT EXUPERY,,,,,,,,,,,,,,,,,,,
0074,ALLEE,ADRIENNE LECOUVREUR,07,0,,9999,,i,07017,0752249M,JULES ROMAINS,,,,,,,,,,,,,,,,,,,
0074,ALLEE,ADRIENNE LECOUVREUR,07,0,,9999,,p,07017,0752249M,JULES ROMAINS,,,,,,,,,,,,,,,,,,,
0076,VILLA,ADRIENNE SIMON,14,0,,9999,,i,14055,0752543G,PAUL BERT,,,,,,,,,,,,,,,,,,,
0076,VILLA,ADRIENNE SIMON,14,0,,9999,,p,14055,0752543G,PAUL BERT,,,,,,,,,,,,,,,,,,,
0077,PLACE,ADRIEN OUDIN,09,0,,9999,,i,08028,0751791P,CONDORCET,,,,,,,,,,,,,,,,,,,
0077,PLACE,ADRIEN OUDIN,09,0,,9999,,p,08028,0751791P,CONDORCET,,,,,,,,,,,,,,,,,,,
0087,RUE,AFFRE,18,0,,11,,i,18089,0752196E,MARX DORMOY,,,,,,,,,,,,,,,,,,,
0087,RUE,AFFRE,18,11,,9999,,i,18092,0750546L,GEORGES CLEMENCEAU,,,,,,,,,,,,,,,,,,,
0087,RUE,AFFRE,18,0,,16,,p,18089,0752196E,MARX DORMOY,,,,,,,,,,,,,,,,,,,
0087,RUE,AFFRE,18,16,,9999,,p,18092,0750546L,GEORGES CLEMENCEAU,,,,,,,,,,,,,,,,,,,
0091,RUE,AGAR,16,0,,9999,,i,16048,0752549N,JEAN-BAPTISTE SAY,m,,,,,,,,,,,,,,,,,,
0091,RUE,AGAR,16,0,,9999,,p,16048,0752549N,JEAN-BAPTISTE SAY,m,,,,,,,,,,,,,,,,,,
0093,RUE DE L,AGENT BAILLY,09,0,,9999,,i,09027,0752250N,PAUL GAUGUIN,,,,,,,,,,,,,,,,,,,
0093,RUE DE L,AGENT BAILLY,09,0,,9999,,p,09027,0752250N,PAUL GAUGUIN,,,,,,,,,,,,,,,,,,,
0096,RUE,AGRIPPA D AUBIGNE,04,0,,9999,,i,04007,0752693V,FRANCOIS COUPERIN,,,,,,,,,,,,,,,,,,,
0096,RUE,AGRIPPA D AUBIGNE,04,0,,9999,,p,04007,0752693V,FRANCOIS COUPERIN,,,,,,,,,,,,,,,,,,,
