"","N_SQ_AD","maternelle"
"1",750115176,1
"2",750116422,1
"3",750115549,1
"4",750118249,1
"5",750115179,1
"6",750151698,1
"7",750118115,1
"8",750115557,1
"9",750115553,1
"10",750116416,1
"11",750151703,1
"12",750115555,1
"13",750151720,1
"14",750115547,1
"15",750114941,1
"16",750108296,1
"17",750118291,1
"18",750116418,1
"19",750115354,1
"20",750116428,1
"21",750115180,1
"22",750115561,1
"23",750111357,1
"24",750110092,1
"25",750115558,1
"26",750115560,1
"27",750115175,1
"28",750151328,1
"29",750115181,1
"30",750118248,1
"31",750112229,1
"32",750145791,1
"33",750118288,1
"34",750115118,1
"35",750115546,1
"36",750109957,1
"37",750115341,1
"38",750114954,1
"39",750114955,1
"40",750151714,1
"41",750115182,1
"42",750118099,1
"43",750151327,1
"44",750108290,1
"45",750114962,1
"46",750151702,1
"47",750151325,1
"48",750118157,1
"49",750151700,1
"50",750108292,1
"51",750114935,1
"52",750111022,1
"53",750151324,1
"54",750115548,1
"55",750114959,1
"56",750108293,1
"57",750151713,1
"58",750151697,1
"59",750111023,1
"60",750115120,1
"61",750109620,1
"62",750118112,1
"63",750109958,1
"64",750114944,1
"65",750118251,1
"66",750116419,1
"67",750109057,1
"68",750109048,1
"69",750109059,1
"70",750118104,1
"71",750151709,1
"72",750109626,1
"73",750177859,1
"74",750111362,1
"75",750109955,1
"76",750111308,1
"77",750115807,1
"78",750151699,1
"79",750118292,1
"80",750114937,1
"81",750118160,1
"82",750151701,1
"83",750115178,1
"84",750115115,1
"85",750115356,1
"86",750116425,1
"87",750151719,1
"88",750174342,1
"89",750115788,1
"90",750108285,1
"91",750115770,1
"92",750114949,1
"93",750114929,1
"94",750116432,1
"95",750118290,1
"96",750109054,1
"97",750109953,1
"98",750151791,1
"99",750109950,1
"100",750109959,1
"101",750116421,1
"102",750109960,1
"103",750146786,1
"104",750109945,1
"105",750115364,1
"106",750116430,1
"107",750114958,1
"108",750111017,1
"109",750111016,1
"110",750109053,1
"111",750111348,1
"112",750111351,1
"113",750115177,1
"114",750171724,1
"115",750110096,1
"116",750115777,1
"117",750115351,1
"118",750114931,1
"119",750110095,1
"120",750171732,1
"121",750115545,1
"122",750115551,1
"123",750108289,1
"124",750118155,1
"125",750140628,1
"126",750151717,1
"127",750115117,1
"128",750109624,1
"129",750115810,1
"130",750151326,1
"131",750115116,1
"132",750109621,1
"133",750151323,1
"134",750108297,1
"135",750115550,1
"136",750116431,1
"137",750114968,1
"138",750109951,1
"139",750109948,1
"140",750116423,1
"141",750109961,1
"142",750109055,1
"143",750114966,1
"144",750115343,1
"145",750118250,1
"146",750118102,1
"147",750177529,1
"148",750115365,1
"149",750151706,1
"150",750151704,1
"151",750111355,1
"152",750118093,1
"153",750115362,1
"154",750112230,1
"155",750118114,1
"156",750109058,1
"157",750118106,1
"158",750174142,1
"159",750114952,1
"160",750110473,1
"161",750111315,1
"162",750115556,1
"163",750115346,1
"164",750108295,1
"165",750111277,1
"166",750115122,1
"167",750111317,1
"168",750118098,1
"169",750109619,1
"170",750116427,1
"171",750115352,1
"172",750118094,1
"173",750143917,1
"174",750115552,1
"175",750108291,1
"176",750115559,1
"177",750118100,1
"178",750116424,1
"179",750151715,1
"180",750116426,1
"181",750109947,1
"182",750116415,1
"183",750111349,1
"184",750151707,1
"185",750114961,1
"186",750114957,1
"187",750114939,1
"188",750109182,1
"189",750115368,1
"190",750115366,1
"191",750115348,1
"192",750111352,1
"193",750115360,1
"194",750111021,1
"195",750111018,1
"196",750174341,1
"197",750118287,1
"198",750110469,1
"199",750114963,1
"200",750114951,1
"201",750110084,1
"202",750115358,1
"203",750108286,1
"204",750115121,1
"205",750118111,1
"206",750108298,1
"207",750141055,1
"208",750115363,1
"209",750111361,1
"210",750115373,1
"211",750109622,1
"212",750115811,1
"213",750111314,1
"214",750111347,1
"215",750111353,1
"216",750115554,1
"217",750115779,1
"218",750115357,1
"219",750109946,1
"220",750109954,1
"221",750109949,1
"222",750151710,1
"223",750114964,1
"224",750110088,1
"225",750116420,1
"226",750115778,1
"227",750151705,1
"228",750151712,1
"229",750151711,1
"230",750115345,1
"231",750114969,1
"232",750111313,1
"233",750115809,1
"234",750114973,1
"235",750118097,1
"236",750110093,1
"237",750110475,1
"238",750111345,1
"239",750117958,1
"240",750117994,1
"241",750110472,1
"242",750108288,1
"243",750115349,1
"244",750108287,1
"245",750108294,1
"246",750177528,1
"247",750118777,1
"248",750118775,1
"249",750118109,1
"250",750114942,1
"251",750115806,1
"252",750114967,1
"253",750151762,1
"254",750118154,1
"255",750109625,1
"256",750114974,1
"257",750118095,1
"258",750115119,1
"259",750116429,1
"260",750151718,1
"261",750118162,1
"262",750114936,1
"263",750115344,1
"264",750151708,1
"265",750111364,1
"266",750111360,1
"267",750118153,1
"268",750116417,1
"269",750151792,1
"270",750115353,1
"271",750110471,1
"272",750118096,1
"273",750117989,1
"274",750117985,1
"275",750110081,1
"276",750118284,1
"277",750110086,1
"278",750118000,1
"279",750109050,1
"280",750115772,1
"281",750118818,1
"282",750114940,1
"283",750110090,1
"284",750108299,1
"285",750110085,1
"286",750115385,1
"287",750110483,1
"288",750110094,1
"289",750115776,1
"290",750118779,1
"291",750109060,1
"292",750115372,1
"293",750117960,1
"294",750175968,1
"295",750115380,1
"296",750109623,1
"297",750109618,1
"298",750115361,1
"299",750114938,1
"300",750109952,1
"301",750109046,1
"302",750171726,1
"303",750114970,1
"304",750114965,1
"305",750114960,1
"306",750110479,1
"307",750110467,1
"308",750151716,1
"309",750144282,1
"310",750111358,1
"311",750114971,1
"312",750114972,1
"313",750114948,1
"314",750111302,1
"315",750150369,1
"316",750117995,1
"317",750117964,1
"318",750118110,1
"319",750152009,1
"320",750110091,1
"321",750117998,1
"322",750118821,1
"323",750118105,1
"324",750115786,1
"325",750115784,1
"326",750115774,1
"327",750162626,1
"328",750109051,1
"329",750115384,1
"330",750115781,1
"331",750118247,1
"332",750117980,1
"333",750117963,1
"334",750171725,1
"335",750118246,1
"336",750118161,1
"337",750153426,1
"338",750115114,1
"339",750117943,1
"340",750115340,1
"341",750145818,1
"342",750114945,1
"343",750114956,1
"344",750118286,1
"345",750117945,1
"346",750111363,1
"347",750117942,1
"348",750111365,1
"349",750111318,1
"350",750111311,1
"351",750110474,1
"352",750117992,1
"353",750115773,1
"354",750114934,1
"355",750117950,1
"356",750118285,1
"357",750118113,1
"358",750114950,1
"359",750109181,1
"360",750109056,1
"361",750118107,1
"362",750117983,1
"363",750110659,1
"364",750115782,1
"365",750115375,1
"366",750114928,1
"367",750115808,1
"368",750158095,1
"369",750115783,1
"370",750117971,1
"371",750110484,1
"372",750110476,1
"373",750118092,1
"374",750115374,1
"375",750117984,1
"376",750111303,1
"377",750110083,1
"378",750115787,1
"379",750114947,1
"380",750117944,1
"381",750177860,1
"382",750172161,1
"383",750110098,1
"384",750110082,1
"385",750109049,1
"386",750110482,1
"387",750115347,1
"388",750153425,1
"389",750111301,1
"390",750110478,1
"391",750117972,1
"392",750114946,1
"393",750115359,1
"394",750110480,1
"395",750117997,1
"396",750115382,1
"397",750117982,1
"398",750110652,1
"399",750114933,1
"400",750110466,1
"401",750117974,1
"402",750153424,1
"403",750117956,1
"404",750110653,1
"405",750118159,1
"406",750115387,1
"407",750115771,1
"408",750118776,1
"409",750114932,1
"410",750118778,1
"411",750114953,1
"412",750110477,1
"413",750111307,1
"414",750117969,1
"415",750117988,1
"416",750117946,1
"417",750118156,1
"418",750115386,1
"419",750111356,1
"420",750117961,1
"421",750115812,1
"422",750110089,1
"423",750118108,1
"424",750111312,1
"425",750109956,1
"426",750110658,1
"427",750115342,1
"428",750115775,1
"429",750110470,1
"430",750115785,1
"431",750117976,1
"432",750117977,1
"433",750111316,1
"434",750117996,1
"435",750117981,1
"436",750110481,1
"437",750110468,1
"438",750117979,1
"439",750117999,1
"440",750114927,1
"441",750117987,1
"442",750111354,1
"443",750118103,1
"444",750111319,1
"445",750171941,1
"446",750118283,1
"447",750117986,1
"448",750115780,1
"449",750117975,1
"450",750110097,1
"451",750111350,1
"452",750110657,1
"453",750117991,1
"454",750111276,1
"455",750110656,1
"456",750117968,1
"457",750118116,1
"458",750109047,1
"459",750117951,1
"460",750110485,1
"461",750117940,1
"462",750110087,1
"463",750117947,1
"464",750114943,1
"465",750118163,1
"466",750117966,1
"467",750115355,1
"468",750118101,1
"469",750151721,1
"470",750159183,1
"471",750117948,1
"472",750115371,1
"473",750117959,1
"474",750115376,1
"475",750111359,1
"476",750117957,1
"477",750117953,1
"478",750118289,1
"479",750115339,1
"480",750111304,1
"481",750117954,1
"482",750117970,1
"483",750117973,1
"484",750117990,1
"485",750115383,1
"486",750115813,1
"487",750111306,1
"488",750111309,1
"489",750118158,1
"490",750117949,1
"491",750117952,1
"492",750115350,1
"493",750117941,1
"494",750111305,1
"495",750110651,1
"496",750117993,1
"497",750117965,1
"498",750111346,1
"499",750117955,1
"500",750110654,1
"501",750111310,1
"502",750065158,4
"503",750065250,4
"504",750063362,4
