VOIE_ID;Arrondissement;Libellé voie long;type voie court;dénomination voie court;Geo Point
B012;75007;PARKING DU CHAMP DE MARS;PK;CHAMP DE MARS;48.856265, 2.305055
B014;75015;PARKING DE LA RUE DE LA PORTE D ISSY;PK;RUE D PTE D ISSY;48.833147, 2.282259
B015;75015;PARKING DE LA PLACE DE LA PORTE DE VERSAILLES;PK;P P D VERSAILLES;48.83234, 2.287667
B104;75015;ESPLANADE HENRI DE FRANCE;ESP;HENRI DE FRANCE;48.839091, 2.270528
B123;75017;JARDIN LILY LASKINE;JAR;LILY LASKINE;
B129;75016;SQUARE DU TCHAD;SQ;TCHAD;48.855792, 2.26845
B132;75013;SQUARE LOUIS SAY;SQ;LOUIS SAY;48.833619, 2.366209
B136;75014;ALLEE SAMUEL BECKETT;ALL;SAMUEL BECKETT;48.827302, 2.33503
B137;75011;SQUARE LOUIS MAJORELLE;SQ;LOUIS MAJORELLE;48.860894, 2.382394
B150;75011;SQUARE DES JARDINIERS;SQ;JARDINIERS;48.852164, 2.392039
B151;75016;ESPLANADE BERNARD DUPERIER;ESP;BERNARD DUPERIER;48.862102, 2.291197
P030;75016;SOUTERRAIN ALMA;SOU;ALMA;48.86442, 2.301342
P040;75017;SOUTERRAIN ASNIERES;SOU;ASNIERES;48.891194, 2.302366
P049;75020;ZAC DE BELLEVILLE;ZAC;DE BELLEVILLE;48.875461, 2.391687
P052;75012;ZAC BERCY;ZAC;BERCY;48.841871, 2.376821
P058;75015;PORTE BRANCION;POR;BRANCION;48.827051, 2.300816
P061;75014;VOIE SNCF PETITE CEINTURE 56;VO;SNCF PE CEINTURE;
P071;75018;VOIE SNCF PETITE CEINTURE 69;VO;SNCF PE CEINTURE;48.898026, 2.349668
P074;75019;VOIE SNCF PETITE CEINTURE 75;VO;SNCF PE CEINTURE;
P076;75012;ZAC CHALON;ZAC;CHALON;48.844568, 2.376282
P078;75020;VOIE SNCF PETITE CEINTURE 80;VO;SNCF PE CEINTURE;
P080;75017;SOUTERRAIN CHAMPERRET;SOU;CHAMPERRET;48.885814, 2.290416
P089;75018;PORTE DE LA CHAPELLE;POR;DE LA CHAPELLE;48.900951, 2.359661
P100;75012;SOUTERRAIN CHARENTON;SOU;CHARENTON;48.843057, 2.385522
P103;75014;PORTE DE CHATILLON;POR;DE CHATILLON;48.824224, 2.318798
P104;75019;PORTE CHAUMONT;POR;CHAUMONT;48.886169, 2.396634
P110;75017;SOUTERRAIN CLICHY;SOU;CLICHY;48.883522, 2.327428
P120;75018;SOUTERRAIN CLIGNANCOURT;SOU;CLIGNANCOURT;48.889454, 2.348237
P137;75012;ZAC CORBINEAU LACHAMBEAUDIE;ZAC;CO LACHAMBEAUDIE;
P139;75016;PORTE DAUPHINE;POR;DAUPHINE;48.878189, 2.266361
P147;75014;PORTE DIDOT;POR;DIDOT;48.825931, 2.310431
P150;75008;SOUTERRAIN ETOILE;SOU;ETOILE;
P150;75017;SOUTERRAIN ETOILE;SOU;ETOILE;48.877155, 2.29565
P157;75013;PORTE D ITALIE;POR;D ITALIE;48.817116, 2.360099
P162;75019;ZAC FLANDRE SUD;ZAC;FLANDRE SUD;48.889225, 2.375185
P163;75013;ZAC GANDON MASSENA;ZAC;GANDON MASSENA;
P166;75012;ZAC GARE DE LYON BERCY;ZAC;G D LYON BERCY;
P172;75003;ZAC DES HALLES;ZAC;DES HALLES;
P172;75004;ZAC DES HALLES;ZAC;DES HALLES;
P174;75013;ZAC LAHIRE;ZAC;LAHIRE;48.829685, 2.366341
P177;75020;PORTE DES LILAS;POR;DES LILAS;48.877587, 2.408295
P179;75017;PORTE MAILLOT;POR;MAILLOT;48.877857, 2.282385
P185;75020;PORTE DE MENILMONTANT;POR;DE MENILMONTANT;48.870605, 2.40972
P187;75016;PORTE MOLITOR;POR;MOLITOR;48.845379, 2.256481
P200;75017;SOUTERRAIN SAINT OUEN;SOU;SAINT OUEN;48.892611, 2.32731
P203;75017;ZAC SAUSSURE;ZAC;SAUSSURE;48.887269, 2.312089
P205;75012;ZAC DE REUILLY;ZAC;DE REUILLY;48.845231, 2.38905
P212;75015;PORTE DE LA PLAINE;POR;DE LA PLAINE;48.829212, 2.29573
P214;75019;PORTE DU PRE SAINT GERVAIS;POR;PRE ST GERVAIS;48.880162, 2.401449
P230;75001;SOUTERRAIN TUILERIES;SOU;TUILERIES;48.862736, 2.324749
P237;75014;PORTE DE VANVES;POR;DE VANVES;48.826825, 2.304545
P249;75019;PORTE DE LA VILLETTE;POR;DE LA VILLETTE;48.899029, 2.38718
P253;75017;PORTE DE VILLIERS;POR;DE VILLIERS;48.884754, 2.28546
P260;75014;BOULEVARD PERIPHERIQUE INTERIEUR SUD;BD;PERIPH INT SUD;48.822237, 2.316514
P261;75013;BOULEVARD PERIPHERIQUE EXTERIEUR SUD;BD;PERIPH EXT SUD;
P264;75012;BOULEVARD PERIPHERIQUE INTERIEUR NORD & EST;BD;PERIPH INT N & E;
P504;75013;ECHANGEUR ITALIE;ECH;ITALIE;48.831421, 2.355585
P524;75018;ECHANGEUR CLIGNANCOURT;ECH;CLIGNANCOURT;48.889454, 2.348237
P525;75018;ECHANGEUR CHAPELLE;ECH;CHAPELLE;48.890513, 2.341306
S004;75008;METRO ALMA MARCEAU;MET;ALMA MARCEAU;
S015;75009;METRO RER AUBER;MET;RER AUBER;
S034;75015;METRO PLACE BALARD;MET;PLACE BALARD;48.836505, 2.278526
S036;75004;METRO BASTILLE;MET;BASTILLE;48.853191, 2.368588
S038;75010;METRO BELLEVILLE;MET;BELLEVILLE;48.879992, 2.370227
S040;75012;METRO BERCY;MET;BERCY;48.841871, 2.376821
S042;75015;METRO BIR HAKEIM;MET;BIR HAKEIM;48.85572, 2.287541
S043;75018;METRO BLANCHE;MET;BLANCHE;48.89165, 2.350755
S055;75019;METRO BUTTES CHAUMONT;MET;BUTTES CHAUMONT;48.879272, 2.387416
S071;75009;METRO CADET;MET;CADET;48.875333, 2.343311
S074;75005;METRO CARDINAL LEMOINE;MET;CARDINAL LEMOINE;48.847151, 2.352398
S076;75005;METRO CENSIER DAUBENTON;MET;CENSIER DAUBENT;
S077;75007;METRO CHAMBRES DES DEPUTES;MET;CHAMBR DEPUTES;
S088;75018;METRO CHATEAU ROUGE;MET;CHATEAU ROUGE;48.883824, 2.350397
S090;75001;METRO CHATELET;MET;CHATELET;48.857528, 2.347309
S090;75004;METRO CHATELET;MET;CHATELET;48.85743, 2.347612
S095;75004;METRO CITE;MET;CITE;48.85465, 2.347727
S096;75014;METRO CITE UNIVERSITAIRE;MET;CI UNIVERSITAIRE;48.82054, 2.33895
S099;75008;METRO CONCORDE;MET;CONCORDE;48.865433, 2.321604
S100;75015;METRO CONVENTION;MET;CONVENTION;48.840275, 2.289733
S108;75005;METRO CLUNY;MET;CLUNY;48.850628, 2.344743
S125;75012;METRO DUGOMMIER;MET;DUGOMMIER;48.839752, 2.391129
S147;75017;METRO ETOILE;MET;ETOILE;48.877155, 2.29565
S149;75016;METRO EXELMANS;MET;EXELMANS;48.84266, 2.261715
S194;75013;METRO GOBELINS;MET;GOBELINS;48.835855, 2.35118
S222;75001;METRO HALLES;MET;HALLES;48.859604, 2.34681
S225;75004;METRO HOTEL DE VILLE;MET;HOTEL DE VILLE;48.856445, 2.350849
S280;75017;METRO LA FOURCHE;MET;LA FOURCHE;
S283;75015;METRO LA MOTTE PICQUET;MET;LA MOTTE PICQUET;48.851181, 2.30093
S287;75012;METRO LEDRU ROLLIN;MET;LEDRU ROLLIN;48.849916, 2.374628
S312;75001;METRO MADELEINE;MET;MADELEINE;48.869644, 2.326316
S332;75016;METRO MIRABEAU;MET;MIRABEAU;48.847428, 2.273719
S336;75012;METRO MONTGALLET;MET;MONTGALLET;48.843467, 2.387668
S341;75008;METRO MIROMESNIL;MET;MIROMESNIL;48.87666, 2.315688
S362;75013;METRO NATIONALE;MET;NATIONALE;48.83296, 2.362176
S385;75019;METRO OURCQ;MET;OURCQ;48.892106, 2.379512
S406;75015;METRO PASTEUR;MET;PASTEUR;48.844634, 2.310558
2243;75016;BOULEVARD DU COMMANDANT CHARCOT * NEUILLY;BD;CDT CHARCOT 92;
2248;75006;COUR DU COMMERCE SAINT ANDRE;CO;COMM SAINT ANDRE;48.852923, 2.339145
2250;75011;TERRASSE DU COMMANDANT JACQUES BLASQUEZ;TR;CDT J BLASQUEZ;
2251;75003;RUE COMMINES;RUE;COMMINES;48.861963, 2.365748
8650;75005;PLACE DE LA SORBONNE;PL;DE LA SORBONNE;48.848675, 2.342331
8662;75012;BOULEVARD SOULT;BD;SOULT;48.84132, 2.409459
8671;75011;RUE SPINOZA;RUE;SPINOZA;48.863707, 2.38584
8694;75018;RUE STEINLEN;RUE;STEINLEN;48.888818, 2.332639
8704;75013;AVENUE STEPHEN PICHON;AV;STEPHEN PICHON;48.833049, 2.359213
8708;75013;RUE STHRAU;RUE;STHRAU;48.827782, 2.366743
8723;75019;PASSAGE DU SUD;PAS;DU SUD;48.88444, 2.382203
8725;75020;IMPASSE SUEZ;IMP;SUEZ;48.858231, 2.40029
8728;75007;AVENUE DE SUFFREN;AV;DE SUFFREN;48.851689, 2.300086
8736;75005;PONT DE SULLY;PO;DE SULLY;48.849982, 2.358716
8743;75008;RUE DE SURENE;RUE;DE SURENE;48.871012, 2.320541
8745;75020;PASSAGE DU SURMELIN;PAS;DU SURMELIN;48.869934, 2.405543
8746;75016;RUE SUZANNE LENGLEN;RUE;SUZANNE LENGLEN;
8747;75020;RUE DU SURMELIN;RUE;DU SURMELIN;48.868977, 2.404972
8769;75004;RUE SAINT ANTOINE;RUE;SAINT ANTOINE;48.854257, 2.363812
8774;75006;RUE SAINT BENOIT;RUE;SAINT BENOIT;48.85482, 2.333003
8794;75015;RUE SAINT CHARLES;RUE;SAINT CHARLES;48.844673, 2.283818
8801;75003;RUE SAINT CLAUDE;RUE;SAINT CLAUDE;48.860112, 2.366011
8806;75003;BOULEVARD SAINT DENIS;BD;SAINT DENIS;48.869241, 2.354651
8820;75011;COUR DU SAINT ESPRIT;CO;DU SAINT ESPRIT;48.850418, 2.381797
8829;75020;RUE SAINT FARGEAU;RUE;SAINT FARGEAU;48.871686, 2.403943
8830;75016;QUAI SAINT EXUPERY;QU;SAINT EXUPERY;48.836039, 2.263422
8837;75001;RUE SAINT FLORENTIN;RUE;SAINT FLORENTIN;48.867166, 2.324018
8840;75018;IMPASSE SAINT FRANCOIS;IMP;SAINT FRANCOIS;48.896485, 2.344221
8845;75005;BOULEVARD SAINT GERMAIN;BD;SAINT GERMAIN;48.852474, 2.338754
8845;75006;BOULEVARD SAINT GERMAIN;BD;SAINT GERMAIN;48.853729, 2.333656
8858;75013;RUE SAINT HIPPOLYTE;RUE;SAINT HIPPOLYTE;48.836066, 2.346847
8860;75001;RUE SAINT HONORE;RUE;SAINT HONORE;48.864307, 2.333239
8868;75014;BOULEVARD SAINT JACQUES;BD;SAINT JACQUES;48.832664, 2.337384
8875;75017;RUE SAINT JEAN;RUE;SAINT JEAN;48.888785, 2.324421
8886;75005;RUE SAINT JULIEN LE PAUVRE;RUE;ST J LE PAUVRE;48.852363, 2.347122
8894;75010;RUE SAINT LAURENT;RUE;SAINT LAURENT;48.875487, 2.357966
8898;75012;ESPLANADE SAINT LOUIS;ESP;SAINT LOUIS;48.840536, 2.435567
8900;75004;PONT SAINT LOUIS;PO;SAINT LOUIS;48.852763, 2.352744
8914;75003;BOULEVARD SAINT MARTIN;BD;SAINT MARTIN;48.868502, 2.358684
8914;75010;BOULEVARD SAINT MARTIN;BD;SAINT MARTIN;48.868502, 2.358684
8917;75010;CANAL SAINT MARTIN;CAN;SAINT MARTIN;48.868502, 2.358684
8932;75005;PLACE SAINT MICHEL;PL;SAINT MICHEL;48.853546, 2.344154
8933;75005;PONT SAINT MICHEL;PO;SAINT MICHEL;48.854036, 2.344574
8941;75017;AVENUE DE SAINT OUEN;AV;DE SAINT OUEN;48.892611, 2.32731
8945;75004;PASSAGE SAINT PAUL;PAS;SAINT PAUL;48.854425, 2.361993
8949;75002;RUE SAINT PHILIPPE;RUE;SAINT PHILIPPE;48.868762, 2.34959
8952;75008;RUE SAINT PHILIPPE DU ROULE;RUE;ST PH DU ROULE;48.873124, 2.308615
8953;75017;COUR SAINT PIERRE;CO;SAINT PIERRE;48.886909, 2.325072
8960;75010;RUE DE SAINT QUENTIN;RUE;DE SAINT QUENTIN;48.878505, 2.355632
8962;75001;PASSAGE SAINT ROCH;PAS;SAINT ROCH;48.865185, 2.332788
8966;75006;SQUARE SAINT ROMAIN;SQ;SAINT ROMAIN;48.847758, 2.320948
8968;75018;RUE SAINT RUSTIQUE;RUE;SAINT RUSTIQUE;48.887046, 2.340501
8970;75011;PASSAGE SAINT SABIN;PAS;SAINT SABIN;48.855317, 2.372627
8971;75011;RUE SAINT SABIN;RUE;SAINT SABIN;48.857234, 2.370041
8973;75015;RUE SAINT SAENS;RUE;SAINT SAENS;48.853523, 2.291521
8978;75011;IMPASSE SAINT SEBASTIEN;IMP;SAINT SEBASTIEN;48.861124, 2.370799
8982;75017;RUE DE SAINT SENOCH;RUE;DE SAINT SENOCH;48.881727, 2.29371
8984;75005;RUE SAINT SEVERIN;RUE;SAINT SEVERIN;48.852465, 2.344928
8986;75007;RUE DE SAINT SIMON;RUE;DE SAINT SIMON;48.856318, 2.323998
8996;75007;RUE SAINT THOMAS D AQUIN;RUE;S THOMAS D AQUIN;48.855839, 2.327033
9001;75019;IMPASSE SAINT VINCENT;IMP;SAINT VINCENT;48.877862, 2.385109
9034;75012;RUE SAINTE CLAIRE DEVILLE;RUE;STE C DEVILLE;48.844108, 2.38722
9043;75015;AVENUE SAINTE EUGENIE;AV;SAINTE EUGENIE;48.835489, 2.298151
9046;75015;RUE SAINTE FELICITE;RUE;SAINTE FELICITE;48.839156, 2.304676
9049;75002;PASSAGE SAINTE FOY;PAS;SAINTE FOY;48.868462, 2.351377
9057;75018;RUE SAINTE ISAURE;RUE;SAINTE ISAURE;48.893653, 2.344129
9068;75020;VILLA SAINTE MARIE;VLA;SAINTE MARIE;48.871101, 2.408259
9076;75001;RUE SAINTE OPPORTUNE;RUE;SAINTE OPPORTUNE;48.860083, 2.347269
9088;75019;PASSAGE SUSAN SONTAG;PAS;SUSAN SONTAG;
9093;75006;RUE DES SAINTS PERES;RUE;DES SAINTS PERES;48.855056, 2.330756
9093;75007;RUE DES SAINTS PERES;RUE;DES SAINTS PERES;48.855056, 2.330756
9098;75007;PLACE DE SYDNEY;PL;SYDNEY;48.850373, 2.306791
9099;75014;PLACE STEPHANE HESSEL;PL;STEPHANE HESSEL;48.841423, 2.325009
9101;75004;RUE DE LA TACHERIE;RUE;DE LA TACHERIE;48.857173, 2.349783
9115;75009;RUE TAITBOUT;RUE;TAITBOUT;48.874522, 2.335262
9116;75012;RUE DE TAHITI;RUE;TAHITI;48.840482, 2.399918
9121;75016;RUE TALMA;RUE;TALMA;48.857191, 2.276168
9139;75017;RUE DES TAPISSERIES;RUE;DES TAPISSERIES;48.88851, 2.307557
9152;75020;MARCHE DU TELEGRAPHE;MAR;DU TELEGRAPHE;48.873435, 2.399222
9154;75020;RUE DU TELEGRAPHE;RUE;DU TELEGRAPHE;48.873435, 2.399222
9177;75010;RUE DU TERRAGE;RUE;DU TERRAGE;48.877429, 2.362753
9182;75012;AVENUE DES TERROIRS DE FRANCE;AV;TER DE FRANCE;48.83165, 2.388085
9195;75010;RUE TESSON;RUE;TESSON;48.871066, 2.371377
9220;75012;RUE THEODORE HAMONT;RUE;THEODORE HAMONT;48.833066, 2.397541
9228;75003;PLACE THEODOR HERZL;PL;THEODOR HERZL;48.867119, 2.363073
9315;75016;PLACE DE TOKYO;PL;TOKYO;48.864676, 2.296939
9319;75013;PORT DE TOLBIAC;PRT;DE TOLBIAC;48.829992, 2.383075
9320;75013;RUE DE TOLBIAC;RUE;DE TOLBIAC;48.826187, 2.360322
9331;75018;PLACE DE TORCY;PL;DE TORCY;48.891337, 2.361035
9332;75018;RUE DE TORCY;RUE;DE TORCY;48.891292, 2.362548
9338;75012;RUE DE TOUL;RUE;DE TOUL;48.839457, 2.402542
9348;75016;VILLA DE LA TOUR;VLA;DE LA TOUR;48.862278, 2.278014
9358;75020;PASSAGE DES TOURELLES;PAS;DES TOURELLES;48.87521, 2.404568
9362;75018;PASSAGE TOURLAQUE;PAS;TOURLAQUE;48.888245, 2.333335
9363;75018;RUE TOURLAQUE;RUE;TOURLAQUE;48.887836, 2.332884
9369;75004;PONT DE LA TOURNELLE;PO;DE LA TOURNELLE;48.850579, 2.355417
9370;75005;PORT DE LA TOURNELLE;PRT;DE LA TOURNELLE;48.850282, 2.354952
9376;75012;RUE TOURNEUX;RUE;TOURNEUX;48.837708, 2.398608
9378;75006;RUE DE TOURNON;RUE;DE TOURNON;48.85038, 2.337196
9392;75013;RUE TOUSSAINT FERON;RUE;TOUSSAINT FERON;48.827005, 2.35807
9402;75002;RUE DE TRACY;RUE;DE TRACY;48.868057, 2.35265
9418;75012;RUE TRAVERSIERE;RUE;TRAVERSIERE;48.847671, 2.373433
9431;75018;RUE DE TRETAIGNE;RUE;DE TRETAIGNE;48.892022, 2.342259
9437;75002;PASSAGE DE LA TRINITE;PAS;DE LA TRINITE;48.865821, 2.351216
1503;75015;RUE DU CAPITAINE SCOTT;RUE;CAPITAINE SCOTT;48.854325, 2.293865
1516;75009;BOULEVARD DES CAPUCINES;BD;DES CAPUCINES;48.870407, 2.330864
1517;75001;RUE DES CAPUCINES;RUE;DES CAPUCINES;48.869136, 2.329095
1530;75018;RUE DU CARDINAL GUIBERT;RUE;CARDINAL GUIBERT;48.886579, 2.342568
1535;75005;RUE DU CARDINAL LEMOINE;RUE;CARDINAL LEMOINE;48.847151, 2.352398
1537;75009;RUE CARDINAL MERCIER;RUE;CARDINAL MERCIER;48.881082, 2.329365
1544;75005;RUE DES CARMES;RUE;DES CARMES;48.84916, 2.347592
1558;75015;RUE CARRIER BELLEUSE;RUE;CARRIER BELLEUSE;48.846822, 2.302573
1564;75019;RUE DES CARRIERES D AMERIQUE;RUE;CARR AMERIQUE;48.884777, 2.393259
1569;75001;PLACE DU CARROUSEL;PL;DU CARROUSEL;48.861678, 2.334404
1570;75001;PONT DU CARROUSEL;PO;DU CARROUSEL;48.859429, 2.332964
1570;75007;PONT DU CARROUSEL;PO;DU CARROUSEL;48.859429, 2.332964
1577;75019;AVENUE DE LA CASCADE;AV;DE LA CASCADE;48.879938, 2.3862
1582;75020;JARDIN CASQUE D OR;JAR;CASQUE D OR;48.871002, 2.391175
1584;75006;RUE CASSETTE;RUE;CASSETTE;48.849694, 2.330884
1588;75015;RUE CASTAGNARY;RUE;CASTAGNARY;48.832021, 2.307474
1590;75020;IMPASSE CASTEGGIO;IMP;CASTEGGIO;48.854028, 2.398698
1595;75001;RUE DE CASTIGLIONE;RUE;DE CASTIGLIONE;48.865961, 2.327923
1597;75001;RUE CATINAT;RUE;CATINAT;48.865528, 2.340602
1598;75007;JARDIN CATHERINE LABOURE;JAR;CATHER  LABOURE;
1599;75017;RUE CATULLE MENDES;RUE;CATULLE MENDES;48.886612, 2.291428
1604;75015;RUE CAUCHY;RUE;CAUCHY;48.842387, 2.277723
1606;75018;RUE CAULAINCOURT;RUE;CAULAINCOURT;48.888678, 2.334292
1609;75009;RUE DE CAUMARTIN;RUE;DE CAUMARTIN;48.872433, 2.328232
1617;75019;RUE CAVENDISH;RUE;CAVENDISH;48.883092, 2.379902
1636;75004;ALLEE CELESTIN HENNION;ALL;CELESTIN HENNION;48.855346, 2.347745
1643;75015;RUE CEPRE;RUE;CEPRE;48.846569, 2.303785
1646;75004;RUE DE LA CERISAIE;RUE;DE LA CERISAIE;48.852032, 2.365839
1648;75008;RUE DE CERISOLES;RUE;DE CERISOLES;48.868684, 2.302696
1675;75012;COUR CHABRIE;CO;CHABRIE;48.836156, 2.384746
1678;75010;RUE DE CHABROL;RUE;DE CHABROL;48.876913, 2.352744
1694;75012;COUR DE CHALON;CO;DE CHALON;48.844568, 2.376282
1719;75007;RUE DU CHAMP DE MARS;RUE;DU CHAMP DE MARS;48.856265, 2.305055
1735;75008;ARCADES DES CHAMPS ELYSEES;ARC;CHAMPS ELYSEES;48.871673, 2.30459
1741;75007;RUE DE CHANALEILLES;RUE;DE CHANALEILLES;48.853149, 2.318359
1743;75015;IMPASSE CHANDON;IMP;CHANDON;48.83848, 2.288083
1754;75016;AVENUE CHANTEMESSE;AV;CHANTEMESSE;48.866816, 2.270777
1765;75011;RUE CHANZY;RUE;CHANZY;48.852646, 2.384811
1768;75010;BOULEVARD DE LA CHAPELLE;BD;DE LA CHAPELLE;48.884147, 2.356931
1793;75016;RUE CHARDIN;RUE;CHARDIN;48.858827, 2.287843
1804;75004;RUE CHARLEMAGNE;RUE;CHARLEMAGNE;48.854204, 2.360451
1810;75012;RUE CHARLES BAUDELAIRE;RUE;CH BAUDELAIRE;48.849781, 2.377012
1814;75018;PLACE CHARLES BERNARD;PL;CHARLES BERNARD;48.893442, 2.342858
1816;75013;RUE CHARLES BERTHEAU;RUE;CHARLES BERTHEAU;48.822902, 2.363609
1830;75008;PLACE CHARLES DE GAULLE;PL;CH DE GAULLE;48.874144, 2.295774
1831;75011;RUE CHARLES DELESCLUZE;RUE;CH DELESCLUZE;48.852558, 2.38012
1839;75017;PLACE CHARLES FILLION;PL;CHARLES FILLION;48.887712, 2.317169
1855;75016;RUE CHARLES LAMOUREUX;RUE;CH LAMOUREUX;48.868701, 2.278271
1878;75004;SQUARE CHARLES V LANGLOIS;SQ;CHARL V LANGLOIS;
1890;75011;BOULEVARD DE CHARONNE;BD;DE CHARONNE;48.853951, 2.396141
1890;75020;BOULEVARD DE CHARONNE;BD;DE CHARONNE;48.854032, 2.396389
1895;75005;IMPASSE CHARTIERE;IMP;CHARTIERE;48.848137, 2.346027
1896;75011;RUE CHARRIERE;RUE;CHARRIERE;48.853106, 2.381889
1899;75001;PERISTYLE DE CHARTRES;PER;DE CHARTRES;48.863741, 2.336482
1908;75008;RUE CHATEAUBRIAND;RUE;CHATEAUBRIAND;48.87347, 2.301061
1916;75014;ALLEE DU CHATEAU OUVRIER;ALL;CHATEAU OUVRIER;48.83405, 2.318942
1928;75009;RUE CHAUCHAT;RUE;CHAUCHAT;48.873442, 2.339589
1933;75019;RUE DES CHAUFOURNIERS;RUE;CHAUFOURNIERS;48.878271, 2.37305
1936;75019;RUE DE CHAUMONT;RUE;DE CHAUMONT;48.881028, 2.371747
1940;75009;RUE DE LA CHAUSSEE D ANTIN;RUE;CHAUSSEE D ANTIN;48.873582, 2.33302
1947;75015;RUE CHAUVELOT;RUE;CHAUVELOT;48.828724, 2.302937
1952;75019;RUE DU CHEMIN DE FER;RUE;DU CHEMIN DE FER;48.899541, 2.390818
1957;75019;RUE DES CHEMINETS;RUE;DES CHEMINETS;48.887726, 2.398601
1969;75015;RUE DE CHERBOURG;RUE;DE CHERBOURG;48.831304, 2.304199
1978;75017;RUE DE CHEROY;RUE;DE CHEROY;48.882458, 2.318518
1988;75007;RUE CHEVERT;RUE;CHEVERT;48.855325, 2.308312
2002;75002;RUE DE CHOISEUL;RUE;DE CHOISEUL;48.87018, 2.335963
2012;75012;RUE CHRETIEN DE TROYES;RUE;CHRET DE TROYES;48.844345, 2.379335
2016;75017;RUE CHRISTINE DE PISAN;RUE;CHRIST  DE PISAN;48.889268, 2.308916
2018;75008;RUE CHRISTOPHE COLOMB;RUE;CH COLOMB;48.86982, 2.299508
2040;75017;AVENUE DU CIMETIERE DES BATIGNOLLES;AV;CIM BATIGNOLLES;48.895926, 2.312929
2043;75017;RUE CINO DEL DUCA;RUE;CINO DEL DUCA;48.883833, 2.282013
2078;75005;RUE CLAUDE BERNARD;RUE;CLAUDE BERNARD;48.83976, 2.34734
2081;75016;RUE CLAUDE FARRERE;RUE;CLAUDE FARRERE;48.842508, 2.253
2098;75005;RUE DE LA CLEF;RUE;DE LA CLEF;48.841346, 2.352625
2099;75020;ESPLANADE CLAUDE LUTER;ESP;CLAUDE LUTER;48.877501, 2.409262
2100;75008;PLACE CLEMENCEAU;PL;CLEMENCEAU;48.867177, 2.314232
2108;75007;RUE CLER;RUE;CLER;48.8573, 2.306142
2110;75002;RUE DE CLERY;RUE;DE CLERY;48.868515, 2.347964
2125;75004;RUE CLOCHE PERCE;RUE;CLOCHE PERCE;48.856131, 2.357107
2131;75004;RUE DU CLOITRE SAINT MERRI;RUE;CLOITRE ST MERRI;48.859075, 2.351344
2145;75005;RUE CLOTILDE;RUE;CLOTILDE;48.845634, 2.346865
2158;75005;RUE DE CLUNY;RUE;DE CLUNY;48.850628, 2.344743
2172;75005;RUE COCHIN;RUE;COCHIN;48.850118, 2.352739
2179;75007;RUE COGNACQ JAY;RUE;COGNACQ JAY;48.861803, 2.303713
2185;75002;RUE COLBERT;RUE;COLBERT;48.868059, 2.338856
2187;75019;RUE COLETTE MAGNY;RUE;COLETTE MAGNY;48.894896, 2.376428
2188;75008;RUE DU COLISEE;RUE;DU COLISEE;48.871197, 2.309558
2200;75004;RUE DE LA COLOMBE;RUE;DE LA COLOMBE;48.854569, 2.350376
2202;75016;AVENUE DU COLONEL BONNET;AV;COLONEL BONNET;48.855348, 2.278412
2203;75012;PLACE DU COLONEL BOURGOIN;PL;COLONEL BOURGOIN;48.844759, 2.383157
2204;75007;RUE DU COLONEL COMBES;RUE;COLONEL COMBES;48.86169, 2.306066
2215;75012;RUE DU COLONEL OUDOT;RUE;DU COLONEL OUDOT;48.836737, 2.406506
2221;75013;PLACE COLUCHE;PL;COLUCHE;48.82643, 2.34171
2221;75014;PLACE COLUCHE;PL;COLUCHE;48.827481, 2.330695
2227;75007;RUE DE LA COMETE;RUE;DE LA COMETE;48.858929, 2.309093
2228;75012;PLACE DES COMBATTANTS EN AFRIQUE DU NORD;PL;COMBT AFR NORD;48.845727, 2.372386
2230;75010;RUE DU COMMANDANT MORTENOL;RUE;CDT MORTENOL;48.876036, 2.363719
2233;75020;RUE DU COMMANDANT L HERMINIER;RUE;CDT L HERMINIER;48.847959, 2.41613
2236;75012;SQUARE DES COMBATTANTS D INDOCHINE;SQ;COMBT D INDOCHIN;
8651;75005;RUE DE LA SORBONNE;RUE;DE LA SORBONNE;48.849304, 2.343266
8654;75016;VILLA SOUCHIER;VLA;SOUCHIER;48.862952, 2.278729
8656;75015;RUE DU SOUDAN;RUE;DU SOUDAN;48.849996, 2.296235
8658;75013;PLACE SOUHAM;PL;SOUHAM;48.82881, 2.367866
8665;75014;VILLA SOUTINE;VLA;SOUTINE;48.826581, 2.335835
8667;75003;RUELLE SOURDIS;RLE;SOURDIS;48.861537, 2.359649
8669;75011;CITE SOUZY;CI;SOUZY;48.851743, 2.388837
8674;75016;RUE SPONTINI;RUE;SPONTINI;48.868692, 2.277627
8680;75015;RUE DE STAEL;RUE;DE STAEL;48.843562, 2.310338
8684;75020;RUE STANISLAS MEUNIER;RUE;S MEUNIER;48.868523, 2.410012
8696;75019;CITE STEMLER;CI;STEMLER;48.875129, 2.374787
8705;75018;RUE STEPHENSON;RUE;STEPHENSON;48.887648, 2.356266
8714;75010;BOULEVARD DE STRASBOURG;BD;DE STRASBOURG;48.872455, 2.355978
8726;75018;RUE DE SUEZ;RUE;DE SUEZ;48.88743, 2.351995
8731;75006;RUE SUGER;RUE;SUGER;48.85297, 2.341756
8744;75016;PONT DE SURESNES;PO;DE SURESNES;48.869331, 2.265823
8761;75006;RUE SAINT ANDRE DES ARTS;RUE;S ANDRE DES ARTS;48.853391, 2.340791
8764;75017;PASSAGE SAINT ANGE;PAS;SAINT ANGE;48.896363, 2.327835
